metric,mean_slope_per_alpha,ci_low,ci_high
average_coverage,0.020000000000000004,0.0,0.06000000000000002
last_coverage,0.03333333333333333,0.0,0.10000000000000002
last_min_true,-35.65889846050484,-74.42778087511392,-4.702519115200894
average_min_true,-19.733463184586956,-40.003092618033065,-3.1178714969898085
mean_success,0.04666666666666666,0.0,0.13999999999999999
final_mean_true,-56.3060351634192,-101.21236288724916,-19.318376045735896
final_mean_success,0.09999999999999999,0.0,0.3
