analysis,shift,interval,k,env_steps,e_total,drift_over_spread,shift_over_spread,natural_spread,bias_fraction,bias_norm,bias_cos_adjacent_k,bias_cos_to_final_k,participation_ratio,top10_dim_share,pred_norm,true_norm,norm_ratio
drift_structure,id,1,0,0,0.0,0.0,,0.9579008221626282,nan,0.0,nan,nan,inf,nan,13.610753059387207,13.610753059387207,1.0
drift_structure,id,1,1,5,0.016291966661810875,0.01714232936501503,,0.9503939747810364,0.03919824957847595,0.35016337037086487,nan,0.6067423820495605,185.344970703125,0.07434648275375366,13.541533470153809,13.547405242919922,0.9995665550231934
drift_structure,id,1,2,10,0.01599661260843277,0.016916627064347267,,0.9456148147583008,0.04236624762415886,0.36072367429733276,0.9067631959915161,0.6514207720756531,185.6378631591797,0.07379581034183502,13.503039360046387,13.513457298278809,0.9992290735244751
drift_structure,id,1,3,15,0.01977841556072235,0.02114105224609375,,0.9355454444885254,0.038195010274648666,0.3808462619781494,0.8789824843406677,0.7536089420318604,183.59866333007812,0.08015245199203491,13.453341484069824,13.444904327392578,1.0006275177001953
drift_structure,id,1,4,20,0.02314780093729496,0.025193041190505028,,0.9188172817230225,0.039798106998205185,0.42056843638420105,0.9044935703277588,0.7710443735122681,183.43846130371094,0.0763993039727211,13.349715232849121,13.331555366516113,1.0013622045516968
drift_structure,id,1,5,25,0.024058258160948753,0.026506226509809494,,0.9076455235481262,0.0462874174118042,0.46239611506462097,0.8970004320144653,0.8458883166313171,183.20240783691406,0.07962165772914886,13.270094871520996,13.26329231262207,1.0005128383636475
drift_structure,id,1,6,30,0.02316262386739254,0.025732271373271942,,0.9001390933990479,0.055938784033060074,0.4987707734107971,0.9331075549125671,0.8827004432678223,182.52903747558594,0.08011632412672043,13.227041244506836,13.213936805725098,1.000991702079773
drift_structure,id,1,7,35,0.022033751010894775,0.024727052077651024,,0.891078770160675,0.05384114757180214,0.4772566556930542,0.9406226277351379,0.8970508575439453,184.598388671875,0.0781196877360344,13.132701873779297,13.154193878173828,0.9983661770820618
drift_structure,id,1,8,40,0.02445371448993683,0.027825525030493736,,0.8788231015205383,0.05661693960428238,0.5155801773071289,0.9476725459098816,0.9090418219566345,182.76681518554688,0.08121206611394882,13.110320091247559,13.106698989868164,1.0002763271331787
drift_structure,id,1,9,45,0.03147311136126518,0.03684473782777786,,0.8542091250419617,0.07341404259204865,0.6660548448562622,0.9326234459877014,0.9526823163032532,181.34365844726562,0.0815206989645958,13.066106796264648,13.022684097290039,1.003334403038025
drift_structure,id,1,10,50,0.03760744631290436,0.04584445059299469,,0.82032710313797,0.08165331184864044,0.7678465843200684,0.9526821970939636,0.9999998807907104,179.34544372558594,0.08541622757911682,13.027822494506836,12.928515434265137,1.0076812505722046
drift_structure,id,2,0,0,0.0,0.0,,0.9579008221626282,nan,0.0,nan,nan,inf,nan,13.610753059387207,13.610753059387207,1.0
