strategy,family,generator,selector,selection_space,deployable,tuned_on_dev,state_index,split,dataset_row,episode,start,true,success,selected_step
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,36,dev,1371767,11069,94,16.085563396942426,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,37,test,1497457,11995,44,18.161719997437498,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,38,dev,1582932,12595,49,3.1327966853591227,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,39,test,1592283,12683,2,12.319459486556289,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,40,dev,1751762,13940,70,15.992798243554473,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,41,test,1756693,13968,73,8.813020055958786,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,42,dev,1789810,14200,119,47.08149844862208,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,43,test,1791388,14209,50,14.831138740339993,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,44,dev,1817969,14447,33,12.612460713418969,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,45,test,1836411,14547,67,531.3262213378814,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,46,dev,1856976,14700,96,309.61122405891086,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,47,test,1872550,14853,0,20.879767677516544,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,48,dev,1917206,15248,82,18.105388064811915,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,49,test,1958883,15683,106,235.9223149677199,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,50,dev,1996212,15966,38,20.266221148948055,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,51,test,2027653,16134,150,12.963237174996854,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,52,dev,2056217,16265,51,84.30451445403551,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,53,test,2131015,16989,23,12.331134743308754,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,54,dev,2162795,17252,52,18.454438633687957,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,55,test,2227454,17719,45,18.862374466672556,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,56,dev,2237502,17787,47,19.182756084764737,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,57,test,2278535,18089,35,154.67720625478697,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,58,dev,2315577,18491,19,19.84431385045581,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,59,test,2329977,18625,21,325.8203466720749,False,29
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,0,dev,30633,278,9,33.35025509434002,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,1,test,43081,380,39,68.73233440862974,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,2,dev,68887,624,90,198.1205480579426,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,3,test,143460,1172,0,412.4461872788333,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,4,dev,161350,1326,6,90.72120385510696,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,5,test,164138,1343,91,17.42529758438328,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,6,dev,283976,2392,36,18.343866823491023,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,7,test,326635,2812,54,20.444393929674785,True,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,8,dev,377817,3108,5,307.2101222901841,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,9,test,459527,3743,64,57.92551472844108,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,10,dev,471804,3833,11,294.31279380989287,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,11,test,496196,3986,69,59.62058188581418,False,4
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,True,False,12,dev,502306,4030,19,18.30222305852241,True,4
