state_index,dataset_row,episode,start,generator,step,proposal_oracle_true,proposal_success_coverage,returned_true,returned_success,returned_nreg,returned_self_pred,returned_verifier_pred,self_selected_true,self_selected_success,self_population_rho,self_population_nreg,verifier_selected_true,verifier_selected_success,verifier_population_rho,verifier_population_nreg
0,30633,278,9,pd_d192_k3_eval,4,13.751220886900702,True,33.35025509434002,False,0.10057201509992099,55.77105712890625,55.77105712890625,16.092732503073833,True,0.7816877965310726,0.01201541561313353,16.092732503073833,True,0.7816877965310726,0.01201541561313353
0,30633,278,9,pd_d192_k3_eval,9,11.317669635072738,True,20.96026375134709,True,0.06421078585287873,30.463092803955078,30.463092803955078,12.59649007587412,True,0.8448124979166435,0.008515764998341372,12.59649007587412,True,0.8448124979166435,0.008515764998341372
0,30633,278,9,pd_d192_k3_eval,19,9.704073835282566,True,20.630855591524675,True,0.13478716747884167,22.379186630249023,22.379186630249023,16.041806400883022,True,0.7340503783375371,0.07817901371258702,16.041806400883022,True,0.7340503783375371,0.07817901371258702
0,30633,278,9,pd_d192_k3_eval,29,9.888127100339906,True,14.565883311376645,True,0.08008977500007224,19.506330490112305,19.506330490112305,17.125175656067185,True,0.4522468027422527,0.12390846473042998,17.125175656067185,True,0.4522468027422527,0.12390846473042998
1,43081,380,39,pd_d192_k3_eval,4,27.4929523298509,False,68.73233440862974,False,0.19358451468498955,121.20870971679688,121.20870971679688,56.690977014596655,False,0.742243802708919,0.13706038144702057,56.690977014596655,False,0.742243802708919,0.13706038144702057
1,43081,380,39,pd_d192_k3_eval,9,16.731846850509914,True,25.03469414719662,False,0.06259885559909972,17.834590911865234,17.834590911865234,20.11680331171346,False,0.7489047656085068,0.0255206910536194,20.11680331171346,False,0.7489047656085068,0.0255206910536194
1,43081,380,39,pd_d192_k3_eval,19,10.435957657448041,True,18.60598540556073,True,0.10662468428866646,6.912364959716797,6.912364959716797,19.384969839372133,True,0.42269002988922105,0.11679098627461913,19.384969839372133,True,0.42269002988922105,0.11679098627461913
1,43081,380,39,pd_d192_k3_eval,29,7.384905627815088,True,22.47224416874468,False,0.3356773382457976,4.390436172485352,4.390436172485352,21.784307333787993,False,0.2571966355181724,0.320371470679226,21.784307333787993,False,0.2571966355181724,0.320371470679226
2,68887,624,90,pd_d192_k3_eval,4,89.81099522439465,False,198.1205480579426,False,0.448538154731367,289.55267333984375,289.55267333984375,191.16628387124226,False,0.055937510416782424,0.4197387298956765,191.16628387124226,False,0.055937510416782424,0.4197387298956765
2,68887,624,90,pd_d192_k3_eval,9,105.34652837343725,False,182.38414205616647,False,0.4487198045050072,265.5729675292969,265.5729675292969,179.31701694959298,False,-0.1993319925776953,0.430854768032277,179.31701694959298,False,-0.1993319925776953,0.430854768032277
2,68887,624,90,pd_d192_k3_eval,19,102.50970980625846,False,152.54441731939556,False,0.4042891666087917,253.1204071044922,253.1204071044922,140.40907507507993,False,-0.28894765497394415,0.3062334839373448,140.40907507507993,False,-0.28894765497394415,0.3062334839373448
2,68887,624,90,pd_d192_k3_eval,29,90.53026020703544,False,121.97502452501479,False,0.4565815767696887,243.40911865234375,243.40911865234375,115.60639456633004,False,-0.07090389893221039,0.3641083408759679,115.60639456633004,False,-0.07090389893221039,0.3641083408759679
3,143460,1172,0,pd_d192_k3_eval,4,317.5235974803846,False,412.4461872788333,False,0.5391474520551689,248.46937561035156,248.46937561035156,399.58109596318866,False,-0.4436582628695873,0.4660754760585738,399.58109596318866,False,-0.4436582628695873,0.4660754760585738
3,143460,1172,0,pd_d192_k3_eval,9,402.72348521046865,False,454.96949637711884,False,0.5010261711668175,240.25112915039062,240.25112915039062,449.7358519105028,False,-0.223466038511539,0.4508368305874385,449.7358519105028,False,-0.223466038511539,0.4508368305874385
3,143460,1172,0,pd_d192_k3_eval,19,441.95130570032876,False,460.276176918234,False,0.45282457007142607,228.63888549804688,228.63888549804688,460.2616328346489,False,0.11851376126401404,0.4524651722716707,460.2616328346489,False,0.11851376126401404,0.4524651722716707
3,143460,1172,0,pd_d192_k3_eval,29,450.9106406412208,False,461.0571524036827,False,0.56242883384602,222.75515747070312,222.75515747070312,458.4671017370954,False,0.09495705507838974,0.418860363211599,458.4671017370954,False,0.09495705507838974,0.418860363211599
