state_index,split,dataset_row,episode,start,generator,scorer,is_self_scorer,step,elite_count,elite_overlap,update_cosine,relative_update_error,learned_update_norm,oracle_update_norm,learned_elite_success_fraction,oracle_elite_success_fraction
0,dev,30633,278,9,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.5333333333333333,0.6241859227237033,0.811231272157135,1.2414699493557118,1.4733818199308988,0.43333333333333335,0.7333333333333333
0,dev,30633,278,9,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.6,0.4465472275729181,1.0140286063804402,0.8335150442550726,0.902382248998132,0.8333333333333334,1.0
0,dev,30633,278,9,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.2,0.29594139533393277,1.2382946813695652,0.6840980461403022,0.6311168049647965,1.0,1.0
0,dev,30633,278,9,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.16666666666666666,0.32150752390836723,1.0331499607337977,0.3609317118193648,0.49123340107175495,0.9333333333333333,1.0
1,test,43081,380,39,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.4666666666666667,0.6324256694187409,0.828136410249089,1.4788217877579264,1.598217450441024,0.0,0.0
1,test,43081,380,39,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.5,0.6584652589983708,0.7728542499477886,1.0262337782357145,1.230211657504128,0.1,0.13333333333333333
1,test,43081,380,39,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.2,0.4030707174293311,1.0251074010159689,0.6442978133780067,0.7449158654255497,0.6666666666666666,1.0
1,test,43081,380,39,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.1,-0.07184779896605221,1.21142141542466,0.24648974698355405,0.40034918720409896,0.6,1.0
2,dev,68887,624,90,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.0,0.08275996054688695,1.077997646353133,1.3998430288066106,2.8350180801607525,0.0,0.0
2,dev,68887,624,90,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.0,0.14958882574271257,1.0405645680803977,0.9964890850419345,2.102921208108896,0.0,0.0
2,dev,68887,624,90,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.0,0.029005682168439868,1.1109554924811953,0.6646393061276261,1.2934775023881344,0.0,0.0
2,dev,68887,624,90,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.03333333333333333,0.5662274893581118,0.8267291332137348,0.42678954700514166,0.6772106996530274,0.0,0.0
3,test,143460,1172,0,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.0,-0.33200286154536524,1.3285528994503548,0.9994693542736732,1.6559556828209216,0.0,0.0
3,test,143460,1172,0,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.0,-0.4544780772571247,1.9410110220626875,1.2429615736743902,0.9786541627408686,0.0,0.0
3,test,143460,1172,0,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.1,0.3161896109140718,1.1270031587272307,0.49771281809851337,0.5383251947875484,0.0,0.0
3,test,143460,1172,0,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.06666666666666667,0.035532410497099993,1.3176505573796544,0.2358441762920311,0.26372209353845,0.0,0.0
4,dev,161350,1326,6,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.2,-0.07230897272958495,1.4943806040041039,1.2775478095189163,1.2277902173285584,0.0,0.0
4,dev,161350,1326,6,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.1,0.1093490348687811,1.178573630375566,0.9759901727848441,1.3143071154177481,0.0,0.0
4,dev,161350,1326,6,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.06666666666666667,0.06179305297540787,1.3334457197029768,0.6356911657807326,0.6719482768678917,0.0,0.0
4,dev,161350,1326,6,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.03333333333333333,-0.34880629118482226,1.4305563858718935,0.3669426088226281,0.5012829132937883,0.0,0.0
5,test,164138,1343,91,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.26666666666666666,0.4121574673033618,1.046386038515128,1.2527100415796912,1.3517350850984517,0.7666666666666667,1.0
5,test,164138,1343,91,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.43333333333333335,0.27468837771829374,1.1765905251594573,0.7817772512113847,0.8205155073865434,0.9666666666666667,1.0
5,test,164138,1343,91,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.1,0.058699292749849634,1.203439875392227,0.3446988292709621,0.4716762614523718,1.0,1.0
5,test,164138,1343,91,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.06666666666666667,0.11186373095000837,1.0737963549347582,0.20535030513920968,0.39586007011266916,1.0,1.0
6,dev,283976,2392,36,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.23333333333333334,0.15493937357373774,1.093841852838647,0.9835150388103229,1.5748597306321233,0.6,1.0
6,dev,283976,2392,36,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.2,0.1967726870218119,1.1745634827472553,0.8686238198529482,1.0297260786111344,0.9,1.0
6,dev,283976,2392,36,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.2,0.3146291364628305,1.0760472084411834,0.3306260481882333,0.4024899542651556,1.0,1.0
6,dev,283976,2392,36,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.23333333333333334,0.5344641990932271,0.8798294850917991,0.2384949405707841,0.30619211092745596,1.0,1.0
7,test,326635,2812,54,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.5333333333333333,0.6822411524065869,0.8411691365687517,1.697414761702219,1.5456390567549991,0.43333333333333335,0.8333333333333334
7,test,326635,2812,54,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.16666666666666666,0.1033393392256869,1.2530182140821933,0.8283180366338093,0.957152515349422,0.5333333333333333,1.0
7,test,326635,2812,54,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.16666666666666666,0.062492608117483556,1.2140685420090518,0.4698388034455219,0.6233165387859237,0.9333333333333333,1.0
7,test,326635,2812,54,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.16666666666666666,0.3065414604849805,1.0286516735554467,0.28411647333996926,0.40790205382126676,1.0,1.0
8,dev,377817,3108,5,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.0,-0.047707767397717545,1.206645839734095,1.459331266065741,2.319164109183421,0.0,0.0
8,dev,377817,3108,5,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.03333333333333333,-0.06398795876011919,1.3620053399440148,1.0735508679193289,1.244095008136977,0.0,0.0
8,dev,377817,3108,5,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.2,0.3449483263926462,1.2758963203860902,1.0094187818108906,0.8347943773124146,0.0,0.0
8,dev,377817,3108,5,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.2,0.3373650064649146,1.1212556792026118,0.5098987064441601,0.5387277120495646,0.0,0.0
9,test,459527,3743,64,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.2,0.2142757141526271,1.1677674831588978,1.2538241191905284,1.467711019691412,0.0,0.03333333333333333
9,test,459527,3743,64,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.2,0.13042762478705128,1.2288270625979625,1.0093337302187873,1.1785855796474936,0.0,0.0
9,test,459527,3743,64,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.03333333333333333,0.09247665990118309,1.1948925224882827,0.5391462444387037,0.7159768030937065,0.03333333333333333,0.7333333333333333
9,test,459527,3743,64,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,0.3471329618572078,1.014421650449678,0.46547128261216986,0.6342838778698936,0.0,0.6666666666666666
10,dev,471804,3833,11,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.5,0.5970750757691446,0.9255707813117503,2.224434319140462,2.100922783971673,0.0,0.0
10,dev,471804,3833,11,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.36666666666666664,0.41885589622976904,0.9731888064416182,1.4048911020126749,1.8271242816256472,0.0,0.0
10,dev,471804,3833,11,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.0,-0.1098147174415669,1.3846109737629417,0.8224783739959891,0.9629326705514987,0.0,1.0
10,dev,471804,3833,11,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,-0.15378145358179804,1.1637496239972145,0.2631038783974469,0.5707185219912515,0.0,0.43333333333333335
11,test,496196,3986,69,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.26666666666666666,0.4635063605485031,1.00836665651849,1.678157359146539,1.776207924769244,0.0,0.0
11,test,496196,3986,69,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.2,0.2874690279971655,1.0370834792698742,0.9416607222246912,1.3743094875808446,0.0,0.0
11,test,496196,3986,69,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.1,0.06319552417843709,1.2010321347373893,0.46216667075782286,0.6319095727465456,0.0,0.06666666666666667
11,test,496196,3986,69,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,-0.22196369542897249,1.470005356726152,0.3077826937776499,0.3505019523481875,0.0,0.0
12,dev,502306,4030,19,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.26666666666666666,0.3118113599110531,1.137604530225593,1.3409792246130117,1.4305191538251094,0.36666666666666664,1.0
12,dev,502306,4030,19,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.4,0.1555970837802358,1.1531488386691764,0.9510527470037744,1.26714999714245,0.5333333333333333,1.0
12,dev,502306,4030,19,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.16666666666666666,0.13759674527013352,1.1898457830190605,0.5061146202331857,0.6351133284136108,0.8666666666666667,1.0
12,dev,502306,4030,19,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,-0.23081344427676842,1.2246916665761365,0.2939119043834816,0.5730132268386607,0.9333333333333333,1.0
13,test,634492,5065,18,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.36666666666666664,0.5909948233323411,0.8250836960861675,1.070230732507942,1.4002582641057448,0.26666666666666666,0.7333333333333333
13,test,634492,5065,18,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.3,0.05017337545529485,1.4071910509989274,0.7111761330183727,0.6828464288029329,0.8333333333333334,1.0
13,test,634492,5065,18,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.13333333333333333,-0.020162783925353932,1.2047543666559861,0.3264972187050097,0.5007415742429335,0.9,1.0
13,test,634492,5065,18,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.16666666666666666,0.2373535731835995,1.1727021019318982,0.21446124115063198,0.23981144024579373,1.0,1.0
14,dev,658744,5204,46,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.4666666666666667,0.31558052076890475,1.2163123777368174,1.326074345933638,1.2318323617470628,0.0,0.0
14,dev,658744,5204,46,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.36666666666666664,0.08694782462332838,1.4815985043042121,1.0393779281914108,0.8781333957732165,0.1,0.16666666666666666
14,dev,658744,5204,46,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.0,0.11783744381690299,1.093535576829976,0.6018978018339458,1.0453719587787098,0.0,0.7666666666666667
14,dev,658744,5204,46,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,-0.09398935835668391,1.1734571521565187,0.22488396326484053,0.4265893033537072,0.0,0.0
15,test,668349,5273,45,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.13333333333333333,0.06183932082770817,1.3418025717893622,1.2696189407093628,1.3243907312664844,0.0,0.0
15,test,668349,5273,45,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.23333333333333334,0.3520443393210635,1.0498632300036408,0.9730377997042591,1.1757421315965904,0.0,0.0
15,test,668349,5273,45,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.43333333333333335,0.28653297067913,1.1498227960971779,0.469090541214046,0.5086121491493171,0.9,1.0
15,test,668349,5273,45,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.16666666666666666,-0.13874451970842178,1.4042893081146444,0.24621903260793712,0.28734191910644097,0.9333333333333333,1.0
16,dev,704961,5616,16,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.3333333333333333,0.3091171237401802,1.0543704257829813,1.1417095021272459,1.4936710764838894,0.0,0.0
16,dev,704961,5616,16,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.03333333333333333,-0.02696459619179283,1.2427446060506284,0.9440729131780876,1.3271152493309977,0.0,0.0
16,dev,704961,5616,16,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.0,0.00043691462988818143,1.1472742577597463,0.5870299631024579,1.043075312499358,0.0,0.0
16,dev,704961,5616,16,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,0.10320426554505228,1.0400224925546535,0.3275075359126735,0.8046671110405018,0.0,0.0
17,test,734121,5889,10,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.26666666666666666,0.3973934967051719,1.0751197380028439,1.8047121015468544,1.884667917282435,0.0,0.0
17,test,734121,5889,10,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.0,-0.00654386779561678,1.2568615065343904,1.2324300676103617,1.6326493452200752,0.0,0.0
17,test,734121,5889,10,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.0,0.008696097185585668,1.1988452736894213,0.68542868216605,1.0230477868775771,0.0,0.0
17,test,734121,5889,10,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,-0.11889463799688005,1.3046432852622076,0.36717643183792353,0.5047729344327421,0.0,0.0
18,dev,746433,5977,36,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.13333333333333333,0.40726485131038015,1.0148285866522873,1.5490905238470773,1.8231202042808026,0.0,0.0
18,dev,746433,5977,36,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.1,0.43116394061940555,0.9283322388973443,1.2710875530668757,1.9568008362365217,0.0,0.0
18,dev,746433,5977,36,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.0,-0.12617600667550352,1.31289971596173,0.8818335383085391,1.2016714465221057,0.0,0.0
18,dev,746433,5977,36,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,-0.28735833600006666,1.5268165354694525,0.4638578156273413,0.5144537531231143,0.0,0.0
19,test,750681,6017,4,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.5333333333333333,0.7513506407220747,0.6764096153343303,1.6609214270563968,1.8457365643687729,0.0,0.0
19,test,750681,6017,4,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.03333333333333333,0.3155377313102863,1.2373783806412444,1.1497455848086124,1.0361011954563675,0.0,0.0
19,test,750681,6017,4,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.0,-0.32915782833334367,1.1496168241243196,0.4149460708715342,1.270664368256401,0.0,0.26666666666666666
19,test,750681,6017,4,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,0.14117736368522482,1.0593195977319314,0.28535752117482255,0.5507509943605771,0.0,0.0
20,dev,768392,6137,24,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,0.43333333333333335,0.6086005969514324,0.9462663429813819,1.4689872320273718,1.306727270886415,0.06666666666666667,0.06666666666666667
20,dev,768392,6137,24,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,0.36666666666666664,0.3240428919917893,1.1323236476156024,0.6815640157819153,0.7202674193899706,0.23333333333333334,0.7
20,dev,768392,6137,24,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,0.06666666666666667,7.710657105476287e-05,1.1939239997992501,0.3767074017824998,0.5774657684086131,0.0,0.7
