shift,k,env_steps,metric,mean,std,median,p25,p75,n
id,0,0,latent_mse,5.45707142668439e-14,2.0433938016043568e-14,5.094842868988772e-14,4.436762982289351e-14,5.793721622252002e-14,100
id,0,0,top1_same,1.0,0.0,1.0,1.0,1.0,100
id,0,0,first_block_l2,0.0,0.0,0.0,0.0,0.0,100
id,0,0,true_cost_regret,0.0,0.0,0.0,0.0,0.0,100
id,0,0,drift_cost_regret_of_true_best,0.0,0.0,0.0,0.0,0.0,100
id,0,0,cost_pearson,1.0,6.690604692494162e-08,1.0,1.0,1.0,100
id,0,0,cost_spearman,1.0,1.7520116557534493e-07,1.0,1.0,1.0,100
id,0,0,top5_overlap,1.0,0.0,1.0,1.0,1.0,100
id,0,0,top10_overlap,1.0,0.0,1.0,1.0,1.0,100
id,0,0,expert_rank_true,133.27999877929688,104.64646911621094,134.0,12.0,249.25,100
id,0,0,expert_rank_drift,133.27999877929688,104.64646911621094,134.0,12.0,249.25,100
id,1,5,latent_mse,0.011477467603981495,0.010485685430467129,0.007181333377957344,0.004867903888225555,0.014558834955096245,100
id,1,5,top1_same,0.800000011920929,0.4000000059604645,1.0,1.0,1.0,100
id,1,5,first_block_l2,0.9159609079360962,1.9405016899108887,0.0,0.0,0.0,100
id,1,5,true_cost_regret,0.8735665678977966,2.7528610229492188,0.0,0.0,0.0,100
id,1,5,drift_cost_regret_of_true_best,0.9123046398162842,2.7790961265563965,0.0,0.0,0.0,100
id,1,5,cost_pearson,0.9863190650939941,0.018975218757987022,0.994574785232544,0.9821391105651855,0.9975573420524597,100
id,1,5,cost_spearman,0.9852175116539001,0.02098793350160122,0.9939409494400024,0.9808617830276489,0.9973248839378357,100
id,1,5,top5_overlap,0.8680000305175781,0.14483092725276947,0.800000011920929,0.800000011920929,1.0,100
id,1,5,top10_overlap,0.878000020980835,0.11452510207891464,0.8999999761581421,0.800000011920929,1.0,100
id,1,5,expert_rank_true,119.73999786376953,102.69485473632812,103.0,11.0,242.5,100
id,1,5,expert_rank_drift,121.12000274658203,103.68869018554688,106.0,10.0,246.25,100
id,2,10,latent_mse,0.02692059986293316,0.03123815357685089,0.015835564583539963,0.01069126557558775,0.02845420502126217,100
id,2,10,top1_same,0.699999988079071,0.4582575559616089,1.0,0.0,1.0,100
id,2,10,first_block_l2,1.3764179944992065,2.1843221187591553,0.0,0.0,3.625511884689331,100
id,2,10,true_cost_regret,3.2669525146484375,8.306559562683105,0.0,0.0,1.0722122192382812,100
id,2,10,drift_cost_regret_of_true_best,3.314166307449341,9.425762176513672,0.0,0.0,1.104278564453125,100
id,2,10,cost_pearson,0.9711635708808899,0.03708595409989357,0.9849656820297241,0.9686821103096008,0.9942595362663269,100
id,2,10,cost_spearman,0.9675273895263672,0.0451897494494915,0.9832717180252075,0.9647718667984009,0.9931298494338989,100
id,2,10,top5_overlap,0.8000000715255737,0.215406596660614,0.800000011920929,0.800000011920929,1.0,100
id,2,10,top10_overlap,0.8270001411437988,0.15547023713588715,0.8999999761581421,0.800000011920929,0.8999999761581421,100
id,2,10,expert_rank_true,93.43000030517578,99.02790069580078,33.5,5.0,193.0,100
id,2,10,expert_rank_drift,93.83999633789062,98.95834350585938,39.0,6.0,192.0,100
id,3,15,latent_mse,0.05450783297419548,0.10323382914066315,0.024590279906988144,0.016974540427327156,0.04423506557941437,100
id,3,15,top1_same,0.6200000047683716,0.4853864312171936,1.0,0.0,1.0,100
id,3,15,first_block_l2,1.6017680168151855,2.1804254055023193,0.0,0.0,3.636746406555176,100
id,3,15,true_cost_regret,5.9590559005737305,18.47233772277832,0.0,0.0,2.0198216438293457,100
id,3,15,drift_cost_regret_of_true_best,4.652649879455566,11.767843246459961,0.0,0.0,3.2084579467773438,100
id,3,15,cost_pearson,0.9529972076416016,0.06393039971590042,0.9757691621780396,0.9422457814216614,0.9922512173652649,100
id,3,15,cost_spearman,0.9483603835105896,0.07076378911733627,0.9747997522354126,0.9404719471931458,0.9914180636405945,100
id,3,15,top5_overlap,0.724000096321106,0.251045823097229,0.800000011920929,0.6000000238418579,0.800000011920929,100
id,3,15,top10_overlap,0.7590000033378601,0.21867555379867554,0.800000011920929,0.699999988079071,0.8999999761581421,100
id,3,15,expert_rank_true,71.79000091552734,86.21070861816406,28.5,1.75,139.25,100
id,3,15,expert_rank_drift,76.06999969482422,92.1936264038086,26.0,2.0,136.75,100
id,4,20,latent_mse,0.09165988117456436,0.17785529792308807,0.04138714820146561,0.021959027275443077,0.08239609748125076,100
id,4,20,top1_same,0.5699999928474426,0.4950757622718811,1.0,0.0,1.0,100
id,4,20,first_block_l2,1.9000442028045654,2.288677930831909,0.0,0.0,4.167644023895264,100
id,4,20,true_cost_regret,9.578154563903809,21.628293991088867,0.0,0.0,5.60760498046875,100
id,4,20,drift_cost_regret_of_true_best,12.121471405029297,29.34829330444336,0.0,0.0,10.35414981842041,100
id,4,20,cost_pearson,0.912599503993988,0.20035329461097717,0.970464825630188,0.9178277254104614,0.9861471652984619,100
id,4,20,cost_spearman,0.9083080887794495,0.20327109098434448,0.9708800911903381,0.9129600524902344,0.9870343804359436,100
id,4,20,top5_overlap,0.6899999976158142,0.25199204683303833,0.800000011920929,0.6000000238418579,0.800000011920929,100
id,4,20,top10_overlap,0.7369999885559082,0.2278837412595749,0.800000011920929,0.675000011920929,0.8999999761581421,100
id,4,20,expert_rank_true,49.59000015258789,72.62205505371094,10.0,1.0,75.75,100
id,4,20,expert_rank_drift,60.04999923706055,79.22655487060547,11.0,2.0,113.5,100
id,5,25,latent_mse,0.140623077750206,0.2315276712179184,0.06487324088811874,0.03718752786517143,0.1520138531923294,100
id,5,25,top1_same,0.5400000214576721,0.4983973801136017,1.0,0.0,1.0,100
id,5,25,first_block_l2,1.8815832138061523,2.1545944213867188,0.0,0.0,3.8544275760650635,100
id,5,25,true_cost_regret,12.955224990844727,27.39702796936035,0.0,0.0,10.548185348510742,100
id,5,25,drift_cost_regret_of_true_best,12.757282257080078,26.987712860107422,0.0,0.0,12.638012886047363,100
id,5,25,cost_pearson,0.8789505958557129,0.23893526196479797,0.960781991481781,0.8958742022514343,0.9840357303619385,100
