kind,shift,metric,k,env_steps,mean,std,median,p25,p75,n
rollout_error,id,mse,0,0,9.353853954417735e-14,1.531047458139343e-14,9.206593549592607e-14,8.34720747383555e-14,1.0289960886405297e-13,200
rollout_error,id,mse,1,5,0.02356475405395031,0.026820024475455284,0.01354639045894146,0.009021369740366936,0.024719154462218285,200
rollout_error,id,mse,2,10,0.05541990324854851,0.06618756055831909,0.03186917304992676,0.01819002255797386,0.061733994632959366,200
rollout_error,id,mse,3,15,0.10736914724111557,0.14103296399116516,0.05466271936893463,0.032227739691734314,0.12828655540943146,200
rollout_error,id,mse,4,20,0.1748148798942566,0.21688950061798096,0.10531730949878693,0.05479900538921356,0.20610284805297852,200
rollout_error,id,mse,5,25,0.26000046730041504,0.30494970083236694,0.16473588347434998,0.07688096910715103,0.3138878345489502,200
rollout_error,id,mse,6,30,0.3174936771392822,0.356805682182312,0.17910850048065186,0.09037575125694275,0.4026058316230774,200
rollout_error,id,mse,7,35,0.3558281362056732,0.3953745365142822,0.1996951401233673,0.08568516373634338,0.43037623167037964,200
rollout_error,id,mse,8,40,0.3985362648963928,0.4238176941871643,0.24147646129131317,0.10606813430786133,0.5265326499938965,200
rollout_error,id,mse,9,45,0.4122192859649658,0.43533894419670105,0.2624390423297882,0.12586818635463715,0.4858493506908417,200
rollout_error,id,mse,10,50,0.4364527761936188,0.4492016136646271,0.2628228962421417,0.14384408295154572,0.541674017906189,200
rollout_error,id,l2,0,0,4.223901214572834e-06,3.4359823075647e-07,4.204362085147295e-06,4.003327376267407e-06,4.444853857421549e-06,200
rollout_error,id,l2,1,5,1.9182296991348267,0.9191450476646423,1.6127302646636963,1.316092848777771,2.178537368774414,200
rollout_error,id,l2,2,10,2.9151270389556885,1.4637818336486816,2.4736297130584717,1.868818759918213,3.442765474319458,200
rollout_error,id,l2,3,15,3.9952216148376465,2.1571004390716553,3.2396087646484375,2.487508773803711,4.962827682495117,200
rollout_error,id,l2,4,20,5.14743185043335,2.65864634513855,4.496760368347168,3.2436721324920654,6.290581226348877,200
rollout_error,id,l2,5,25,6.277961254119873,3.24149489402771,5.623847007751465,3.8420023918151855,7.763140678405762,200
rollout_error,id,l2,6,30,6.901266574859619,3.6512062549591064,5.864100933074951,4.165437698364258,8.79205322265625,200
rollout_error,id,l2,7,35,7.264240264892578,3.9433250427246094,6.19198751449585,4.056044578552246,9.090222358703613,200
rollout_error,id,l2,8,40,7.761340141296387,4.034918308258057,6.809053897857666,4.512763023376465,10.05445671081543,200
rollout_error,id,l2,9,45,7.934769153594971,4.023125648498535,7.098470687866211,4.91593074798584,9.65822696685791,200
rollout_error,id,l2,10,50,8.204178810119629,4.060835361480713,7.103655815124512,5.25528621673584,10.19810676574707,200
rollout_error,id,cosine,0,0,7.450580596923828e-09,6.974953237204318e-08,0.0,0.0,5.960464477539063e-08,200
rollout_error,id,cosine,1,5,0.013211412355303764,0.01667977124452591,0.007168620824813843,0.004514709115028381,0.013863533735275269,200
rollout_error,id,cosine,2,10,0.030559035018086433,0.03928578272461891,0.016352742910385132,0.009141504764556885,0.03725863993167877,200
rollout_error,id,cosine,3,15,0.05899002403020859,0.08136603236198425,0.028658628463745117,0.01656705141067505,0.06820105016231537,200
rollout_error,id,cosine,4,20,0.09625515341758728,0.12593814730644226,0.060279130935668945,0.026091262698173523,0.10962723195552826,200
rollout_error,id,cosine,5,25,0.14171871542930603,0.16584935784339905,0.08812958002090454,0.04132898151874542,0.17704269289970398,200
rollout_error,id,cosine,6,30,0.17288963496685028,0.19324158132076263,0.09947115182876587,0.047025635838508606,0.21132627129554749,200
rollout_error,id,cosine,7,35,0.19304433465003967,0.21706058084964752,0.11221367120742798,0.043711140751838684,0.24113145470619202,200
rollout_error,id,cosine,8,40,0.21771998703479767,0.233592227101326,0.13077282905578613,0.054699867963790894,0.299592524766922,200
rollout_error,id,cosine,9,45,0.2284822016954422,0.24286304414272308,0.13479670882225037,0.06500260531902313,0.2812049984931946,200
rollout_error,id,cosine,10,50,0.24388988316059113,0.2504510283470154,0.14900541305541992,0.07626195251941681,0.30760544538497925,200
rollout_error,visual,mse,0,0,6.124014327330701e-14,1.612654169816201e-14,5.863255573331644e-14,4.832425285665812e-14,7.366383978496538e-14,200
rollout_error,visual,mse,1,5,0.11224856972694397,0.0876115933060646,0.08356454968452454,0.05002296715974808,0.14424100518226624,200
rollout_error,visual,mse,2,10,0.22568723559379578,0.16199305653572083,0.1681426465511322,0.10352519899606705,0.2970678508281708,200
rollout_error,visual,mse,3,15,0.31330958008766174,0.19568927586078644,0.26303887367248535,0.16484522819519043,0.40934500098228455,200
rollout_error,visual,mse,4,20,0.3830530643463135,0.2175099402666092,0.3323669135570526,0.20642700791358948,0.5000501275062561,200
rollout_error,visual,mse,5,25,0.45302826166152954,0.23722749948501587,0.42683207988739014,0.25945723056793213,0.6109129190444946,200
rollout_error,visual,mse,6,30,0.4898042380809784,0.23923969268798828,0.4488893151283264,0.2875238060951233,0.6198940873146057,200
rollout_error,visual,mse,7,35,0.5324601531028748,0.2516963481903076,0.4784548878669739,0.3254339098930359,0.7323099374771118,200
rollout_error,visual,mse,8,40,0.5684248208999634,0.26438355445861816,0.49528032541275024,0.3518790006637573,0.7774701714515686,200
rollout_error,visual,mse,9,45,0.6069404482841492,0.26649609208106995,0.5678101181983948,0.3838699460029602,0.805343747138977,200
rollout_error,visual,mse,10,50,0.6367685794830322,0.26555684208869934,0.5761224031448364,0.4227536916732788,0.8091468811035156,200
rollout_error,visual,l2,0,0,3.398879243832198e-06,4.5357128897194343e-07,3.3552107652212726e-06,3.0460219022643287e-06,3.7607787817250937e-06,200
rollout_error,visual,l2,1,5,4.356103897094727,1.605018973350525,4.005539894104004,3.099097967147827,5.262533187866211,200
rollout_error,visual,l2,2,10,6.214399814605713,2.170985698699951,5.681840896606445,4.458343505859375,7.552280426025391,200
rollout_error,visual,l2,3,15,7.408908843994141,2.294236183166504,7.106513023376465,5.62573766708374,8.86529541015625,200
rollout_error,visual,l2,4,20,8.245011329650879,2.359232187271118,7.98838996887207,6.295509338378906,9.798412322998047,200
rollout_error,visual,l2,5,25,9.013723373413086,2.394619941711426,9.052696228027344,7.058010101318359,10.830289840698242,200
rollout_error,visual,l2,6,30,9.40876293182373,2.3489584922790527,9.283491134643555,7.4299702644348145,10.90960693359375,200
rollout_error,visual,l2,7,35,9.830132484436035,2.3666090965270996,9.584512710571289,7.904638767242432,11.857632637023926,200
rollout_error,visual,l2,8,40,10.163019180297852,2.4188075065612793,9.751605987548828,8.219524383544922,12.217784881591797,200
rollout_error,visual,l2,9,45,10.531830787658691,2.3691954612731934,10.441234588623047,8.585046768188477,12.434866905212402,200
rollout_error,visual,l2,10,50,10.814422607421875,2.3038742542266846,10.517351150512695,9.009111404418945,12.464194297790527,200
rollout_error,visual,cosine,0,0,-1.19209286886246e-09,8.193416789481489e-08,0.0,0.0,5.960464477539063e-08,200
rollout_error,visual,cosine,1,5,0.14916521310806274,0.12716354429721832,0.10200923681259155,0.05878226459026337,0.19670596718788147,200
rollout_error,visual,cosine,2,10,0.28383830189704895,0.2042214274406433,0.23602363467216492,0.11620141565799713,0.3923942744731903,200
rollout_error,visual,cosine,3,15,0.38022664189338684,0.2319866269826889,0.3396555781364441,0.18771041929721832,0.5538140535354614,200
rollout_error,visual,cosine,4,20,0.44781553745269775,0.2585028111934662,0.4234122335910797,0.2108103185892105,0.6481841802597046,200
