run,epoch,n_val_states,val_states,base_score_mae,base_score_normalized_mae,base_topk_overlap,elite_overlap,relative_update_error,selected_elite_true_cost,update_cosine
oe_ft60_fold0_massrel_v2,0,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",0.0,0.0,1.0,0.16,1.173333373825952,112.95012757981235,0.1545034920535026
oe_ft60_fold1_massrel_v2,0,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",0.0,0.0,1.0,0.17708333333333331,1.1428431489476005,103.93405271455575,0.16279199255339613
oe_ft60_fold2_massrel_v2,0,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",0.004869627085281536,0.0002977230077807288,0.9995833333333334,0.17750000000000002,1.1386876656904503,91.05380510671534,0.1976748948155044
oe_ft60_fold0_massrel_v2,1,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",7.07196605745703,0.22090862993710153,0.7562500000000001,0.1675,1.1681685997045628,112.48004582933012,0.16603090179615268
oe_ft60_fold1_massrel_v2,1,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",8.024131094291807,0.27949028042630986,0.7054166666666666,0.19916666666666666,1.1202721589091422,102.84005083236794,0.22095540406268066
oe_ft60_fold2_massrel_v2,1,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",8.507145475409924,0.29867378817037293,0.7283333333333334,0.19541666666666668,1.125267473867397,89.66981034265237,0.23823085599506405
oe_ft60_fold0_massrel_v2,2,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",10.589381834864616,0.2800785679628733,0.6975,0.1725,1.1728864821369185,112.25730256392978,0.1736989220863125
oe_ft60_fold1_massrel_v2,2,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",12.74790832027793,0.358519801614273,0.6179166666666667,0.2029166666666667,1.1170217214556846,102.58562806195634,0.22923494378600012
oe_ft60_fold2_massrel_v2,2,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",13.270793409645558,0.37277199765516567,0.6541666666666667,0.20833333333333334,1.1141139787761793,89.00837591364048,0.262687188014583
oe_ft60_fold0_massrel_v2,3,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",13.484493281692266,0.3387280669779724,0.6375000000000001,0.17208333333333334,1.1770904112310416,112.24465274962547,0.1771333744372834
oe_ft60_fold1_massrel_v2,3,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",16.996061469614506,0.40909498498133584,0.5591666666666668,0.2079166666666667,1.1171628444704467,102.07661961751835,0.24656145769365367
oe_ft60_fold2_massrel_v2,3,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",17.55553223863244,0.44734277997244776,0.5808333333333334,0.2170833333333333,1.1108567112730545,88.36642598560506,0.27802755731333206
oe_ft60_fold0_massrel_v2,4,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",16.243100059777497,0.3770085772910134,0.6016666666666666,0.17416666666666664,1.177944967292736,112.06341845728971,0.1906048671344246
oe_ft60_fold1_massrel_v2,4,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",21.06926095187664,0.47559999149518956,0.49749999999999994,0.20916666666666664,1.1294996282017618,101.71063017205701,0.24929653334003116
oe_ft60_fold2_massrel_v2,4,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",20.911936284601687,0.5112660031223137,0.5166666666666667,0.21833333333333332,1.12163615936467,88.11522406176742,0.285852392069543
oe_ft60_fold0_massrel_v2,5,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",18.626070488989352,0.41868759343261946,0.5658333333333333,0.17625,1.1710749105024056,112.10174172818047,0.21093637800145246
oe_ft60_fold1_massrel_v2,5,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",24.80521998256445,0.5303556134513249,0.4495833333333333,0.22125,1.141460700207797,101.32291385746952,0.2587425638617344
oe_ft60_fold2_massrel_v2,5,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",23.69062645882368,0.5466926499295819,0.48125,0.2179166666666667,1.128806381010854,88.03792415682258,0.28579515834052505
