kind,metric,env_step,k,mean,std,median,p25,p75,n
geometry_vs_id,agent_xy_l2,0,0.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,1,0.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,2,0.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,3,0.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,4,0.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,5,1.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,6,1.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,7,1.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,8,1.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,9,1.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,10,2.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,11,2.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,12,2.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,13,2.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,14,2.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,15,3.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,16,3.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,17,3.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,18,3.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,19,3.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,20,4.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,21,4.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,22,4.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,23,4.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,24,4.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,25,5.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,26,5.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,27,5.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,28,5.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,29,5.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,30,6.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,31,6.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,32,6.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,33,6.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,34,6.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,35,7.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,36,7.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,37,7.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,38,7.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,39,7.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,40,8.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,41,8.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,42,8.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,43,8.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,44,8.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,45,9.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,46,9.2,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,47,9.4,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,48,9.6,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,49,9.8,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,agent_xy_l2,50,10.0,0.0,0.0,0.0,0.0,0.0,200
geometry_vs_id,block_xy_l2,0,0.0,0.19856281578540802,0.4486106336116791,0.0,0.0,0.0,200
geometry_vs_id,block_xy_l2,1,0.2,2.4242050647735596,3.867522716522217,0.6820023059844971,0.0,2.7784061431884766,200
geometry_vs_id,block_xy_l2,2,0.4,4.166218280792236,6.739561080932617,0.9014801979064941,0.0,5.245605945587158,200
geometry_vs_id,block_xy_l2,3,0.6,5.730852127075195,8.90293025970459,1.0833524465560913,0.0,7.371713638305664,200
geometry_vs_id,block_xy_l2,4,0.8,7.185215950012207,10.552557945251465,1.162851333618164,0.0,11.365767478942871,200
geometry_vs_id,block_xy_l2,5,1.0,8.588584899902344,12.159913063049316,2.0944743156433105,0.0,15.061203002929688,200
geometry_vs_id,block_xy_l2,6,1.2,9.984399795532227,13.798626899719238,2.49001407623291,0.0,16.635196685791016,200
geometry_vs_id,block_xy_l2,7,1.4,11.299344062805176,15.447969436645508,2.896279811859131,0.0,17.803998947143555,200
geometry_vs_id,block_xy_l2,8,1.6,12.493692398071289,16.9871826171875,3.1989855766296387,0.0,19.599716186523438,200
geometry_vs_id,block_xy_l2,9,1.8,13.783929824829102,18.47117042541504,4.298368453979492,0.0,21.240524291992188,200
geometry_vs_id,block_xy_l2,10,2.0,15.086957931518555,19.701147079467773,6.100862503051758,0.0,25.002737045288086,200
geometry_vs_id,block_xy_l2,11,2.2,16.27332878112793,20.579742431640625,8.120172500610352,0.12006111443042755,27.0208797454834,200
geometry_vs_id,block_xy_l2,12,2.4,17.404569625854492,21.58567237854004,8.557928085327148,0.3067771792411804,29.25385093688965,200
geometry_vs_id,block_xy_l2,13,2.6,18.512502670288086,22.607070922851562,9.841195106506348,0.4069820046424866,30.94002342224121,200
geometry_vs_id,block_xy_l2,14,2.8,19.57807159423828,23.585865020751953,10.922613143920898,0.5487179160118103,31.609561920166016,200
geometry_vs_id,block_xy_l2,15,3.0,20.7081241607666,24.597795486450195,11.562597274780273,1.1098212003707886,32.517845153808594,200
geometry_vs_id,block_xy_l2,16,3.2,21.966344833374023,25.71807098388672,12.60012435913086,1.2894635200500488,33.82538986206055,200
geometry_vs_id,block_xy_l2,17,3.4,23.220754623413086,26.97909164428711,13.348442077636719,1.8030234575271606,35.023590087890625,200
geometry_vs_id,block_xy_l2,18,3.6,24.408218383789062,28.223234176635742,14.197477340698242,1.8790017366409302,37.322261810302734,200
geometry_vs_id,block_xy_l2,19,3.8,25.528564453125,29.43031883239746,16.43297576904297,2.2676539421081543,38.41505432128906,200
geometry_vs_id,block_xy_l2,20,4.0,26.6727352142334,30.524703979492188,16.897945404052734,2.492243766784668,40.340213775634766,200
geometry_vs_id,block_xy_l2,21,4.2,27.76567840576172,31.66263198852539,17.79904556274414,2.5555801391601562,40.802284240722656,200
geometry_vs_id,block_xy_l2,22,4.4,28.881389617919922,32.778724670410156,18.044292449951172,2.876197099685669,42.64951705932617,200
geometry_vs_id,block_xy_l2,23,4.6,30.044994354248047,33.949031829833984,18.10964584350586,2.9582114219665527,45.45223617553711,200
geometry_vs_id,block_xy_l2,24,4.8,31.115821838378906,34.951961517333984,19.846519470214844,3.587556838989258,45.40073013305664,200
geometry_vs_id,block_xy_l2,25,5.0,32.17060852050781,35.925025939941406,21.28078842163086,3.7792954444885254,47.610660552978516,200
geometry_vs_id,block_xy_l2,26,5.2,33.17525863647461,36.81889724731445,22.119583129882812,4.189686298370361,48.50941848754883,200
geometry_vs_id,block_xy_l2,27,5.4,34.07362747192383,37.68739318847656,23.100540161132812,4.941451072692871,48.87028503417969,200
geometry_vs_id,block_xy_l2,28,5.6,34.964508056640625,38.547794342041016,24.53171730041504,5.049256324768066,49.08989715576172,200
geometry_vs_id,block_xy_l2,29,5.8,35.847755432128906,39.61186218261719,24.53171730041504,5.436919212341309,50.362403869628906,200
geometry_vs_id,block_xy_l2,30,6.0,36.64897537231445,40.185630798339844,25.07082748413086,5.647250175476074,53.027793884277344,200
geometry_vs_id,block_xy_l2,31,6.2,37.3901252746582,40.278018951416016,25.78046989440918,6.1442670822143555,53.027793884277344,200
geometry_vs_id,block_xy_l2,32,6.4,38.06232833862305,40.577186584472656,26.853836059570312,6.530014991760254,55.5862922668457,200
geometry_vs_id,block_xy_l2,33,6.6,38.6380500793457,40.95608901977539,27.159526824951172,7.20714807510376,58.53556442260742,200
geometry_vs_id,block_xy_l2,34,6.8,39.354103088378906,41.36101150512695,28.32532501220703,7.260983467102051,58.558536529541016,200
geometry_vs_id,block_xy_l2,35,7.0,40.1381721496582,41.959720611572266,28.95241928100586,7.176026344299316,58.558536529541016,200
geometry_vs_id,block_xy_l2,36,7.2,41.044158935546875,42.47713851928711,28.95241928100586,7.216742992401123,58.558536529541016,200
geometry_vs_id,block_xy_l2,37,7.4,41.8759880065918,43.0268669128418,29.993389129638672,7.294135093688965,58.75774383544922,200
geometry_vs_id,block_xy_l2,38,7.6,42.70321273803711,43.54606246948242,31.442398071289062,7.332125663757324,62.14967346191406,200
geometry_vs_id,block_xy_l2,39,7.8,43.521728515625,43.95192337036133,31.12464141845703,7.345798015594482,64.5692367553711,200
geometry_vs_id,block_xy_l2,40,8.0,44.339656829833984,44.342247009277344,31.94722557067871,7.849042892456055,66.11546325683594,200
geometry_vs_id,block_xy_l2,41,8.2,45.13079071044922,44.62765121459961,32.80056381225586,8.683385848999023,66.1954345703125,200
geometry_vs_id,block_xy_l2,42,8.4,46.04484558105469,44.95497512817383,34.279197692871094,10.396596908569336,68.99475860595703,200
geometry_vs_id,block_xy_l2,43,8.6,46.940879821777344,45.374263763427734,35.05942153930664,11.66512680053711,70.06895446777344,200
geometry_vs_id,block_xy_l2,44,8.8,47.85862731933594,46.004981994628906,35.31000900268555,11.691247940063477,71.54635620117188,200
geometry_vs_id,block_xy_l2,45,9.0,48.760643005371094,46.68159866333008,37.090423583984375,11.691247940063477,71.54635620117188,200
geometry_vs_id,block_xy_l2,46,9.2,49.5919075012207,47.26664733886719,37.189353942871094,11.360969543457031,74.3675537109375,200
geometry_vs_id,block_xy_l2,47,9.4,50.368141174316406,47.8164176940918,37.37254333496094,11.566335678100586,74.60188293457031,200
geometry_vs_id,block_xy_l2,48,9.6,51.14521408081055,48.34697341918945,37.86895751953125,11.995390892028809,74.79837799072266,200
geometry_vs_id,block_xy_l2,49,9.8,51.884246826171875,48.89688491821289,38.76824188232422,12.039331436157227,75.38861083984375,200
geometry_vs_id,block_xy_l2,50,10.0,52.627906799316406,49.557769775390625,39.0361328125,12.039331436157227,77.22203826904297,200
geometry_vs_id,angle_abs,0,0.0,0.0008349645067937672,0.002775387139990926,0.0,0.0,0.0,200
geometry_vs_id,angle_abs,1,0.2,0.021436471492052078,0.038079794496297836,0.002436041831970215,0.0,0.026247501373291016,200
geometry_vs_id,angle_abs,2,0.4,0.04040750116109848,0.0718325525522232,0.004557251930236816,0.0,0.05270415544509888,200
geometry_vs_id,angle_abs,3,0.6,0.05938365310430527,0.10300564020872116,0.009186506271362305,0.0,0.08773791790008545,200
geometry_vs_id,angle_abs,4,0.8,0.07803452759981155,0.12965670228004456,0.01189422607421875,0.0,0.11998403072357178,200
geometry_vs_id,angle_abs,5,1.0,0.09730900079011917,0.1560785323381424,0.017258048057556152,0.0,0.15092003345489502,200
