alpha,n_states,average_coverage,average_coverage_delta_vs_alpha0,average_coverage_delta_ci_low,average_coverage_delta_ci_high,last_coverage,last_coverage_delta_vs_alpha0,last_coverage_delta_ci_low,last_coverage_delta_ci_high,last_min_true,last_min_true_delta_vs_alpha0,last_min_true_delta_ci_low,last_min_true_delta_ci_high,average_min_true,average_min_true_delta_vs_alpha0,average_min_true_delta_ci_low,average_min_true_delta_ci_high,mean_success,mean_success_delta_vs_alpha0,mean_success_delta_ci_low,mean_success_delta_ci_high,final_mean_true,final_mean_true_delta_vs_alpha0,final_mean_true_delta_ci_low,final_mean_true_delta_ci_high,final_mean_success,final_mean_success_delta_vs_alpha0,final_mean_success_delta_ci_low,final_mean_success_delta_ci_high
0.0,12,0.30333333333333334,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,86.59493763481566,0.0,0.0,0.0,88.46052104023077,0.0,0.0,0.0,0.21,0.0,0.0,0.0,105.71747527085459,0.0,0.0,0.0,0.25,0.0,0.0,0.0
0.5,12,0.41,0.10666666666666667,0.01333333333333333,0.2366666666666666,0.5833333333333334,0.16666666666666666,0.0,0.4166666666666667,35.29329361853332,-51.30164401628233,-102.9684792739255,-9.815250790286983,50.46160780074029,-37.9989132394905,-78.04316760990228,-6.65528272785023,0.2933333333333334,0.08333333333333333,0.03333333333333333,0.1366666666666667,45.29426354787709,-60.423211722977506,-115.64847323429987,-14.062554783873232,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5833333333333334
1.0,12,0.4466666666666667,0.14333333333333334,0.013333333333333336,0.3033333333333333,0.5833333333333334,0.16666666666666666,0.0,0.4166666666666667,34.11892202134783,-52.47601561346783,-104.5199529709453,-10.325721554087373,43.92879837564354,-44.53172266458725,-92.62182678103699,-7.519177345042679,0.3666666666666667,0.15666666666666668,0.04666666666666667,0.28,38.21878414451725,-67.49869112633733,-123.61575069812827,-20.25738647616001,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5833333333333334
