metric,mean_slope_per_alpha,ci_low,ci_high
average_coverage,0.14333333333333334,0.013333333333333336,0.3033333333333333
last_coverage,0.16666666666666666,0.0,0.4166666666666667
last_min_true,-52.47601561346783,-104.5199529709453,-10.325721554087373
average_min_true,-44.53172266458725,-92.62182678103699,-7.519177345042679
mean_success,0.15666666666666668,0.04666666666666667,0.28
final_mean_true,-67.49869112633733,-123.61575069812827,-20.25738647616001
final_mean_success,0.3333333333333333,0.08333333333333333,0.5833333333333334
