run,epoch,n_val_states,val_states,base_score_mae,elite_overlap,relative_update_error,selected_elite_true_cost,update_cosine
oe_ft12_fold0_proj_lr2e6_a02_v1,0,4,"0,3,6,9",0.0,0.16875,1.2252134727482922,153.63485170037615,0.11286641591902395
oe_ft12_fold1_proj_lr2e6_a02_v1,0,4,"1,4,7,10",0.0,0.05,1.2459474288919852,129.74175225940883,-0.003350088562886544
oe_ft12_fold2_proj_lr2e6_a02_v1,0,4,"2,5,8,11",0.0,0.22291666666666668,1.1310236756128482,38.86233851160172,0.25427021337902433
oe_ft12_fold0_proj_lr2e6_a02_v1,1,4,"0,3,6,9",1.3062385842204094,0.15416666666666667,1.2403975634476765,154.19209983014213,0.09177351698846302
oe_ft12_fold1_proj_lr2e6_a02_v1,1,4,"1,4,7,10",0.8165996819734573,0.04791666666666666,1.2410066525010084,129.65856751874708,0.014313444780275306
oe_ft12_fold2_proj_lr2e6_a02_v1,1,4,"2,5,8,11",0.8342285112012178,0.22083333333333335,1.143109455233593,38.96047475945173,0.2509437555453686
oe_ft12_fold0_proj_lr2e6_a02_v1,2,4,"0,3,6,9",1.9859465938061476,0.15416666666666667,1.2509769955759078,154.33506034899406,0.07494002106712
oe_ft12_fold1_proj_lr2e6_a02_v1,2,4,"1,4,7,10",1.3995276931673288,0.04583333333333334,1.2498895588667995,129.76907082896008,0.003877279927393196
oe_ft12_fold2_proj_lr2e6_a02_v1,2,4,"2,5,8,11",1.4138215403072536,0.22291666666666668,1.16087305634524,39.255119746131186,0.2354749657164047
oe_ft12_fold0_proj_lr2e6_a02_v1,3,4,"0,3,6,9",3.012838263064623,0.15416666666666667,1.267305695936871,154.7077519850095,0.0556744989036288
oe_ft12_fold1_proj_lr2e6_a02_v1,3,4,"1,4,7,10",1.9983638748526573,0.05,1.2524958327623286,129.6162374341925,0.008609700782307732
oe_ft12_fold2_proj_lr2e6_a02_v1,3,4,"2,5,8,11",2.018399710766971,0.21875,1.1512297638156388,39.29536597026532,0.24295866970677157
oe_ft12_fold0_proj_lr2e6_a02_v1,4,4,"0,3,6,9",3.897888544946909,0.15208333333333332,1.2727722495155822,154.8917688860132,0.05239818514084195
oe_ft12_fold1_proj_lr2e6_a02_v1,4,4,"1,4,7,10",2.564680401235819,0.04375,1.2657804124701,129.70544901817294,-0.019947817351468285
oe_ft12_fold2_proj_lr2e6_a02_v1,4,4,"2,5,8,11",2.5451162178069353,0.22083333333333333,1.1434122617978209,39.28190106828203,0.24678169280813117
oe_ft12_fold0_proj_lr2e6_a02_v1,5,4,"0,3,6,9",4.6607943549752235,0.14791666666666667,1.2876229118146374,155.030270169038,0.04173370782418364
oe_ft12_fold1_proj_lr2e6_a02_v1,5,4,"1,4,7,10",3.1169597692787647,0.041666666666666664,1.2735650892537844,129.58406182038112,-0.02563175593478139
oe_ft12_fold2_proj_lr2e6_a02_v1,5,4,"2,5,8,11",3.188721191138029,0.21250000000000002,1.1547851670430103,39.56461107920531,0.24536564381254214
oe_ft12_fold0_proj_lr2e6_a02_v1,6,4,"0,3,6,9",5.386042758822441,0.15416666666666667,1.2687275675246532,155.10356085447742,0.059764712255327264
oe_ft12_fold1_proj_lr2e6_a02_v1,6,4,"1,4,7,10",3.611909218132496,0.041666666666666664,1.2738596410620824,129.52217803284339,-0.02677655157809012
oe_ft12_fold2_proj_lr2e6_a02_v1,6,4,"2,5,8,11",3.7733367551118135,0.21249999999999997,1.15135589984378,39.73624718591281,0.24690247374540136
oe_ft12_fold0_proj_lr2e6_a02_v1,7,4,"0,3,6,9",6.182601638138294,0.15416666666666667,1.2757791326817232,155.39669084496117,0.05154065576132366
oe_ft12_fold1_proj_lr2e6_a02_v1,7,4,"1,4,7,10",4.092703729867935,0.03958333333333333,1.2936958912019407,129.54800406882453,-0.05859529883978293
oe_ft12_fold2_proj_lr2e6_a02_v1,7,4,"2,5,8,11",4.352839814499021,0.21458333333333335,1.1545767417575128,39.750389199273414,0.2548114129470313
oe_ft12_fold0_proj_lr2e6_a02_v1,8,4,"0,3,6,9",6.828090511262417,0.15,1.2766480431822682,155.43816358278133,0.04790446765498199
oe_ft12_fold1_proj_lr2e6_a02_v1,8,4,"1,4,7,10",4.560433700680733,0.03958333333333333,1.2977618961263764,129.61777996352345,-0.05249978120373647
oe_ft12_fold2_proj_lr2e6_a02_v1,8,4,"2,5,8,11",4.993993259966373,0.21041666666666664,1.1679971764720403,40.071888864493246,0.25459912179381167
oe_ft12_fold0_proj_lr2e6_a02_v1,9,4,"0,3,6,9",7.428454890847206,0.14583333333333331,1.28769106745812,155.35756728894467,0.033058439517881844
oe_ft12_fold1_proj_lr2e6_a02_v1,9,4,"1,4,7,10",4.847406163811684,0.041666666666666664,1.3038709167688434,129.5535533771271,-0.06051521027577398
oe_ft12_fold2_proj_lr2e6_a02_v1,9,4,"2,5,8,11",5.506773337721825,0.21041666666666664,1.1650664135657693,40.15436480337182,0.2623544939502138
oe_ft12_fold0_proj_lr2e6_a02_v1,10,4,"0,3,6,9",8.053776055574417,0.14375,1.28914789535234,155.55578641204843,0.028993317723795965
oe_ft12_fold1_proj_lr2e6_a02_v1,10,4,"1,4,7,10",5.333113938570023,0.041666666666666664,1.317446663037589,129.55428413613433,-0.06779963029269205
oe_ft12_fold2_proj_lr2e6_a02_v1,10,4,"2,5,8,11",6.082367841154337,0.21041666666666667,1.1694441630978307,40.01171454907684,0.2648382503490676
