epoch,n_folds,n_heldout_states,base_score_mae,elite_overlap,relative_update_error,selected_elite_true_cost,update_cosine,base_score_mae_delta_vs_epoch0,elite_overlap_delta_vs_epoch0,relative_update_error_delta_vs_epoch0,selected_elite_true_cost_delta_vs_epoch0,update_cosine_delta_vs_epoch0
0,3,12,0.0,0.14722222222222223,1.2007281924177085,107.41298082379556,0.12126218024505392,0.0,0.0,0.0,0.0,0.0
1,3,12,0.9856889257983615,0.14097222222222225,1.208171223727426,107.60371403611366,0.1190102391047023,0.9856889257983615,-0.006249999999999978,0.007443031309717574,0.1907332123180936,-0.0022519411403516126
2,3,12,1.5997652757602434,0.14097222222222225,1.2205798702626491,107.78641697469511,0.10476408890363931,1.5997652757602434,-0.006249999999999978,0.019851677844940685,0.3734361508995505,-0.01649809134141461
3,3,12,2.3432006162280836,0.14097222222222222,1.223677097504946,107.87311846315578,0.10241428979756938,2.3432006162280836,-0.0062500000000000056,0.02294890508723757,0.46013763936021235,-0.01884789044748454
4,3,12,3.002561721329888,0.13888888888888887,1.2273216412611678,107.95970632415606,0.09307735353250161,3.002561721329888,-0.00833333333333336,0.026593448843459377,0.5467255003604947,-0.028184826712552305
5,3,12,3.655491771797339,0.13402777777777777,1.2386577227038107,108.05964768954148,0.08715586523398146,3.655491771797339,-0.013194444444444453,0.03792953028610224,0.6466668657459138,-0.03410631501107246
6,3,12,4.25709624402225,0.1361111111111111,1.2313143694768385,108.12066202441122,0.0932968781408795,4.25709624402225,-0.011111111111111127,0.030586177059130026,0.707681200615653,-0.027965302104174417
7,3,12,4.876048394168417,0.1361111111111111,1.2413505885470588,108.23169470435305,0.08258558995619068,4.876048394168417,-0.011111111111111127,0.04062239612935037,0.8187138805574818,-0.038676590288863236
8,3,12,5.460839157303174,0.13333333333333333,1.2474690385935616,108.37594413693267,0.0833346027483524,5.460839157303174,-0.013888888888888895,0.04674084617585317,0.9629633131371094,-0.03792757749670152
9,3,12,5.927544797460238,0.13263888888888886,1.252209465930911,108.35516182314785,0.07829924106410723,5.927544797460238,-0.014583333333333365,0.05148127351320264,0.9421809993522885,-0.042962939180946694
10,3,12,6.489752611766259,0.13194444444444445,1.2586795738292533,108.3739283657532,0.07534397926005718,6.489752611766259,-0.015277777777777779,0.05795138141154488,0.960947541957637,-0.04591820098499674
