protocol,horizon,winner_k,winner_success_rate,runner_up_k,runner_up_success_rate,advantage_pp,ci_low_pp,ci_high_pp,descriptive_ci_excludes_zero
fixcand,1,3,31.333333333333332,1,30.666666666666668,0.6666666666666666,-6.666666666666667,8.0,False
fixcand,3,3,52.666666666666664,10,48.0,4.666666666666667,-2.6666666666666665,12.0,False
fixcand,5,3,57.333333333333336,5,56.666666666666664,0.6666666666666666,-5.333333333333333,6.666666666666667,False
fixcand,8,3,20.0,2,17.333333333333332,2.6666666666666665,-4.0,9.333333333333334,False
fixcand,10,5,14.666666666666666,1,12.0,2.6666666666666665,-4.0,9.333333333333334,False
fixcalls,1,3,32.0,1,28.0,4.0,-2.6666666666666665,10.666666666666666,False
fixcalls,3,3,56.0,5,48.0,8.0,1.3333333333333333,14.666666666666666,True
fixcalls,5,5,57.333333333333336,3,57.333333333333336,0.0,-6.0,6.0,False
fixcalls,8,3,20.0,2,19.333333333333332,0.6666666666666666,-6.0,7.333333333333333,False
fixcalls,10,3,13.333333333333334,5,12.666666666666666,0.6666666666666666,-5.333333333333333,6.666666666666667,False
