protocol,horizon,goal_offset,k_train,num_samples,success_rate,n_success,evaluation_time_seconds,source,success_bits
fixcand,5,40,5,300,56.0,28,62.22688865661621,gateA_iter2_multistep_h5_off40_fixcand.txt,00111011100011111000101111001000110011110001011101
fixcand,5,40,10,300,52.0,26,59.809898376464844,gateA_pd_d192_k10_h5_off40_fixcand.txt,10100011010011110000011111001010011011110000111100
fixcand,5,60,1,300,20.0,10,71.08863043785095,gateA_iter2_baseline_h5_off60_fixcand.txt,01010001000000000000000000101000001010101000001000
fixcand,5,60,2,300,22.0,11,70.06841397285461,gateA_pd_d192_k2_h5_off60_fixcand.txt,01010001000000001000000000101110000010101000000000
fixcand,5,60,3,300,24.0,12,69.69828820228577,gateA_pd_d192_k3_h5_off60_fixcand.txt,01010001000000010000010000111000000100101000001000
fixcand,5,60,5,300,24.0,12,69.57701969146729,gateA_iter2_multistep_h5_off60_fixcand.txt,01010001000010001000000000111000000000101000001001
fixcand,5,60,10,300,26.0,13,69.16538190841675,gateA_pd_d192_k10_h5_off60_fixcand.txt,01011001000000000000000000111000000000101010001011
fixcand,8,25,1,300,26.0,13,103.67370271682739,gateA_iter2_baseline_h8_off25_fixcand.txt,10001000000101000110000000000100110001100000100100
fixcand,8,25,2,300,32.0,16,103.57540655136108,gateA_pd_d192_k2_h8_off25_fixcand.txt,10011000101001001000100000000100000011001001100110
fixcand,8,25,3,300,30.0,15,104.06628108024597,gateA_pd_d192_k3_h8_off25_fixcand.txt,10001000100011001000000000010100000101011001100100
fixcand,8,25,5,300,42.0,21,104.42505741119385,gateA_iter2_multistep_h8_off25_fixcand.txt,00001100000111010010010110110010000011001101101010
fixcand,8,25,10,300,22.0,11,106.98802590370178,gateA_pd_d192_k10_h8_off25_fixcand.txt,00001000000000000010100001000100000110001001101000
fixcand,8,40,1,300,8.0,4,108.36911535263062,gateA_iter2_baseline_h8_off40_fixcand.txt,00000010000000010000000001000000000000000000001000
fixcand,8,40,2,300,12.0,6,109.3649959564209,gateA_pd_d192_k2_h8_off40_fixcand.txt,00001010000000010000000000000000100000000000001100
fixcand,8,40,3,300,18.0,9,109.47641372680664,gateA_pd_d192_k3_h8_off40_fixcand.txt,00000000001010000000100000001000010011000000001010
fixcand,8,40,5,300,4.0,2,109.1574866771698,gateA_iter2_multistep_h8_off40_fixcand.txt,00000000000000000000100000000000000000000000001000
fixcand,8,40,10,300,20.0,10,109.28877925872803,gateA_pd_d192_k10_h8_off40_fixcand.txt,00000000000111010000000001001000110000100000001000
fixcand,8,60,1,300,14.0,7,109.06875944137573,gateA_iter2_baseline_h8_off60_fixcand.txt,00000001000000000000010100010100000000101000000000
fixcand,8,60,2,300,8.0,4,109.55163764953613,gateA_pd_d192_k2_h8_off60_fixcand.txt,00000000000000000000010000000000000100001000001000
fixcand,8,60,3,300,12.0,6,108.6205735206604,gateA_pd_d192_k3_h8_off60_fixcand.txt,00000100000000000000010000010100000100001000000000
fixcand,8,60,5,300,4.0,2,109.29310607910156,gateA_iter2_multistep_h8_off60_fixcand.txt,00000000000000001000000000000000000000001000000000
fixcand,8,60,10,300,4.0,2,109.49727129936218,gateA_pd_d192_k10_h8_off60_fixcand.txt,00000000000000000000000000100000000000000010000000
fixcand,10,25,1,300,16.0,8,129.4783797264099,gateA_iter2_baseline_h10_off25_fixcand.txt,00000000000101000110000000000000100001100001000000
fixcand,10,25,2,300,12.0,6,128.2982370853424,gateA_pd_d192_k2_h10_off25_fixcand.txt,10001000000001000000000000000000000001000000100100
fixcand,10,25,3,300,22.0,11,124.78060126304626,gateA_pd_d192_k3_h10_off25_fixcand.txt,10001000001011000000000000001100000001000011100000
fixcand,10,25,5,300,30.0,15,130.55225920677185,gateA_iter2_multistep_h10_off25_fixcand.txt,00000100000111011010010000101000000010101001000001
fixcand,10,25,10,300,14.0,7,130.50771474838257,gateA_pd_d192_k10_h10_off25_fixcand.txt,10000000001000001000010000000010100010000000000000
fixcand,10,40,1,300,14.0,7,132.19203734397888,gateA_iter2_baseline_h10_off40_fixcand.txt,10000000000110000000000001000000011000100000000000
fixcand,10,40,2,300,14.0,7,132.7240447998047,gateA_pd_d192_k2_h10_off40_fixcand.txt,10001010010001000000000000000000000000000010001000
fixcand,10,40,3,300,8.0,4,131.86161160469055,gateA_pd_d192_k3_h10_off40_fixcand.txt,00000100000010000000000000000000010000000000001000
fixcand,10,40,5,300,10.0,5,132.32532620429993,gateA_iter2_multistep_h10_off40_fixcand.txt,00000010000000000000100100000000100000000000001000
fixcand,10,40,10,300,12.0,6,132.3367736339569,gateA_pd_d192_k10_h10_off40_fixcand.txt,00000010000000000000000001000000110000000000001100
fixcand,10,60,1,300,6.0,3,132.39322304725647,gateA_iter2_baseline_h10_off60_fixcand.txt,00000001000000000000000000000000000000001000000001
fixcand,10,60,2,300,8.0,4,132.42239665985107,gateA_pd_d192_k2_h10_off60_fixcand.txt,00000000000000000000000100000000000000001000001001
fixcand,10,60,3,300,4.0,2,132.9944179058075,gateA_pd_d192_k3_h10_off60_fixcand.txt,00000001000000000000000000000000000000001000000000
fixcand,10,60,5,300,4.0,2,132.1491940021515,gateA_iter2_multistep_h10_off60_fixcand.txt,00000000000000000000000000000000000000101000000000
fixcand,10,60,10,300,6.0,3,131.02942490577698,gateA_pd_d192_k10_h10_off60_fixcand.txt,00000000000000000000000000100010000000001000000000
fixcalls,1,25,1,1500,48.0,24,153.96641302108765,gateA_iter2_baseline_h1_off25_fixcalls.txt,10110011100111000011010111100111011001000100001000
fixcalls,1,25,2,1500,46.0,23,159.0981137752533,gateA_pd_d192_k2_h1_off25_fixcalls.txt,10000011110001000001010011101110111001000101011100
fixcalls,1,25,3,1500,60.0,30,128.7727987766266,gateA_pd_d192_k3_h1_off25_fixcalls.txt,10000111110111010011010110101111111001100101011001
fixcalls,1,25,5,1500,52.0,26,146.001446723938,gateA_iter2_multistep_h1_off25_fixcalls.txt,10010011010010100110000110101111111001000101111001
fixcalls,1,25,10,1500,36.0,18,176.4777810573578,gateA_pd_d192_k10_h1_off25_fixcalls.txt,00000001100000010110010010110101110011000000111000
fixcalls,1,40,1,1500,26.0,13,202.7135133743286,gateA_iter2_baseline_h1_off40_fixcalls.txt,00010000110110000010010001000010000010010001000100
fixcalls,1,40,2,1500,14.0,7,224.54622650146484,gateA_pd_d192_k2_h1_off40_fixcalls.txt,00010001000010000000000001000000001010000000000100
fixcalls,1,40,3,1500,18.0,9,214.40576720237732,gateA_pd_d192_k3_h1_off40_fixcalls.txt,00000000100010010000001011000000000001000000100100
fixcalls,1,40,5,1500,20.0,10,214.9941840171814,gateA_iter2_multistep_h1_off40_fixcalls.txt,00000001000010011000000001001000000010000001001100
fixcalls,1,40,10,1500,16.0,8,219.16023898124695,gateA_pd_d192_k10_h1_off40_fixcalls.txt,00000000000010000000011011001000000000000000010100
fixcalls,1,60,1,1500,10.0,5,233.7084014415741,gateA_iter2_baseline_h1_off60_fixcalls.txt,01010001000000000000000000000000000000001000001000
fixcalls,1,60,2,1500,12.0,6,232.08965587615967,gateA_pd_d192_k2_h1_off60_fixcalls.txt,00000100000000001000000000100000000010001000001000
fixcalls,1,60,3,1500,18.0,9,218.33364081382751,gateA_pd_d192_k3_h1_off60_fixcalls.txt,01010001100000001000000000110000000000001000001000
fixcalls,1,60,5,1500,8.0,4,238.3616726398468,gateA_iter2_multistep_h1_off60_fixcalls.txt,00000000000000000000000000100000000000101000001000
fixcalls,1,60,10,1500,8.0,4,234.9256181716919,gateA_pd_d192_k10_h1_off60_fixcalls.txt,00010000000000000000000000100000000000001000001000
fixcalls,3,25,1,500,78.0,39,61.748005628585815,gateA_iter2_baseline_h3_off25_fixcalls.txt,01011111111111011111110101101110011111011101111101
fixcalls,3,25,2,500,84.0,42,54.61933207511902,gateA_pd_d192_k2_h3_off25_fixcalls.txt,11011011111111001111101111111111111101101111111101
fixcalls,3,25,3,500,86.0,43,49.5436749458313,gateA_pd_d192_k3_h3_off25_fixcalls.txt,11111111111111000011101111111111111011111101111111
