split,generator,scorer,is_self_scorer,step,n_states,elite_count,mean_elite_overlap,mean_update_cosine,mean_relative_update_error,mean_learned_elite_success_fraction,mean_oracle_elite_success_fraction
all,pd_d192_k3_eval,pd_d192_k3_eval,True,0,12,30,0.48055555555555546,0.6084519993766634,0.8302015369020738,0.05277777777777778,0.07777777777777777
all,pd_d192_k3_eval,pd_d192_k3_eval,True,1,12,30,0.33888888888888885,0.4493604742307835,0.9807403419135111,0.10000000000000002,0.17222222222222225
all,pd_d192_k3_eval,pd_d192_k3_eval,True,2,12,30,0.2722222222222222,0.34852987368257776,1.0642380106489508,0.14722222222222223,0.3055555555555556
all,pd_d192_k3_eval,pd_d192_k3_eval,True,4,12,30,0.25833333333333336,0.27290916148641475,1.1143471393829132,0.17777777777777778,0.3333333333333333
all,pd_d192_k3_eval,pd_d192_k3_eval,True,9,12,30,0.27499999999999997,0.17564435239450468,1.2365292460316493,0.2388888888888889,0.3666666666666667
all,pd_d192_k3_eval,pd_d192_k3_eval,True,19,12,30,0.28611111111111104,0.30352310605551064,1.0384481303969186,0.2916666666666667,0.40277777777777773
all,pd_d192_k3_eval,pd_d192_k3_eval,True,29,12,30,0.21944444444444444,0.3105775178993792,1.0474403428644379,0.37777777777777777,0.5277777777777778
all,pd_d192_k3_eval,iter2_multistep_eval,False,0,12,30,0.5444444444444444,0.6173108222640191,0.7581972373659203,0.05555555555555555,0.07777777777777777
all,pd_d192_k3_eval,iter2_multistep_eval,False,1,12,30,0.42777777777777776,0.489720876782491,0.9063195981710517,0.125,0.17222222222222225
all,pd_d192_k3_eval,iter2_multistep_eval,False,2,12,30,0.35555555555555546,0.35033142196892664,1.070270910529196,0.17777777777777778,0.3055555555555556
all,pd_d192_k3_eval,iter2_multistep_eval,False,4,12,30,0.3527777777777778,0.35446191594669224,1.0481199676070962,0.20277777777777775,0.3333333333333333
all,pd_d192_k3_eval,iter2_multistep_eval,False,9,12,30,0.3111111111111111,0.15457943696021972,1.2474341110278486,0.2611111111111111,0.3666666666666667
all,pd_d192_k3_eval,iter2_multistep_eval,False,19,12,30,0.32222222222222224,0.40738978284133287,1.0681799895038246,0.28055555555555556,0.40277777777777773
all,pd_d192_k3_eval,iter2_multistep_eval,False,29,12,30,0.3194444444444444,0.40885537894753177,1.0151827012521542,0.39444444444444443,0.5277777777777778
all,pd_d192_k3_eval,pd_d192_k10_eval,False,0,12,30,0.5111111111111112,0.5519786378313316,0.8161899858503493,0.05833333333333333,0.07777777777777777
all,pd_d192_k3_eval,pd_d192_k10_eval,False,1,12,30,0.44166666666666665,0.453590943153013,0.9149730331446055,0.11944444444444445,0.17222222222222225
all,pd_d192_k3_eval,pd_d192_k10_eval,False,2,12,30,0.37777777777777777,0.39791427678268426,1.00487072829148,0.15,0.3055555555555556
all,pd_d192_k3_eval,pd_d192_k10_eval,False,4,12,30,0.375,0.34692794570137014,1.029910920744867,0.20555555555555557,0.3333333333333333
all,pd_d192_k3_eval,pd_d192_k10_eval,False,9,12,30,0.2888888888888889,0.1401116589821938,1.2993287901833557,0.25555555555555554,0.3666666666666667
all,pd_d192_k3_eval,pd_d192_k10_eval,False,19,12,30,0.2916666666666667,0.3302271056139178,1.1572298588860255,0.2861111111111111,0.40277777777777773
all,pd_d192_k3_eval,pd_d192_k10_eval,False,29,12,30,0.26388888888888884,0.31332943375266425,1.1231692972203688,0.4055555555555555,0.5277777777777778
all,iter2_multistep_eval,pd_d192_k3_eval,False,0,12,30,0.48055555555555546,0.6084519993766634,0.8302015369020738,0.05277777777777778,0.07777777777777777
all,iter2_multistep_eval,pd_d192_k3_eval,False,1,12,30,0.3444444444444444,0.49034840960558657,0.9678464036051156,0.1111111111111111,0.20833333333333334
