generator,step,n_states,proposal_oracle_true,proposal_success_coverage,returned_true,returned_success,returned_nreg,returned_self_pred,returned_verifier_pred,self_population_rho,self_population_nreg,verifier_population_rho,verifier_population_nreg
pd_d192_k3_eval,0,12,96.96776814598319,0.3333333333333333,155.53759696691054,0.08333333333333333,0.2359455159680233,236.81050956249237,212.9966621597608,0.5185728730319227,0.140886646868901,0.3900555561728463,0.14889318867659268
pd_d192_k3_eval,1,12,83.09584971595815,0.3333333333333333,131.84295781787094,0.08333333333333333,0.22078640090494825,216.5804182688395,181.15691510836282,0.44129934777053076,0.1648066871677833,0.40465471838575984,0.14788242032760876
pd_d192_k3_eval,2,12,71.40617922907107,0.3333333333333333,119.20699137667505,0.16666666666666666,0.22913836833135562,202.15300830205283,161.31239473819733,0.4173918599095546,0.150693265024162,0.480591821390608,0.13089303155868579
pd_d192_k3_eval,4,12,57.757681909754616,0.4166666666666667,100.10998048313576,0.25,0.21607040364060304,180.90293538570404,138.27807168165842,0.40694878091238057,0.17723324938334598,0.5031903687818754,0.15650960096287012
pd_d192_k3_eval,9,12,56.5460059913331,0.5833333333333334,98.9148803543211,0.25,0.21977558996606664,124.91172377268474,132.99885201454163,0.3586652073911932,0.19368260103300397,0.43254643570113743,0.1325812985992441
pd_d192_k3_eval,19,12,63.105159340011845,0.5833333333333334,95.26869113698888,0.25,0.22981566652821062,88.26495558023453,127.65512025356293,0.44729234028526244,0.2306818683640762,0.4793645484949833,0.25917651482612575
pd_d192_k3_eval,29,12,63.87640793990005,0.5833333333333334,81.56653705309292,0.4166666666666667,0.22812283496278504,72.63422577579816,103.24466880162556,0.44959206954151343,0.22964673945092748,0.4924283232776661,0.1912767083943193
iter2_multistep_eval,0,12,96.96776814598319,0.3333333333333333,148.6509068465618,0.08333333333333333,0.21626474028973228,208.77641336123148,199.8388168811798,0.543941599351104,0.11609665915187319,0.3900555561728463,0.14889318867659268
iter2_multistep_eval,1,12,84.04279622614008,0.3333333333333333,122.73286454596949,0.16666666666666666,0.18073835957352444,174.22725009918213,158.55400232474008,0.5730441078974952,0.1696261136400875,0.4396279217917236,0.15057631395954976
iter2_multistep_eval,2,12,69.43421248628407,0.4166666666666667,113.37711298903035,0.25,0.20969643859203888,149.79800923665366,140.11419705549875,0.5527052152431324,0.13356717172122587,0.4573446742000837,0.12498795115743531
iter2_multistep_eval,4,12,62.017944172013394,0.5,108.466608810555,0.25,0.23829687050906437,130.15260020891824,129.2134087085724,0.43531757760271406,0.17681930767499598,0.41260488079497176,0.1867980215876546
iter2_multistep_eval,9,12,71.44566063023177,0.5,113.45609730118856,0.3333333333333333,0.24920026720690538,107.58157952626546,118.6024569272995,0.35670529672551926,0.23061750157238517,0.39773134516309444,0.19682618459769707
iter2_multistep_eval,19,12,76.01482566005684,0.5,115.06154257910369,0.4166666666666667,0.2556866563833174,79.27966578801473,114.99304711818695,0.42574973055256166,0.20785079485930033,0.4216320181335349,0.28219146461149486
iter2_multistep_eval,29,12,76.06648643927359,0.5833333333333334,105.23063418913887,0.4166666666666667,0.26093234323205605,58.49237800637881,101.66611961523692,0.43362970699674447,0.2646758664233449,0.31810523820635045,0.28726442252075124
pd_d192_k10_eval,0,12,96.96776814598319,0.3333333333333333,160.59266285820877,0.08333333333333333,0.26165684875406797,209.3915400505066,209.3915400505066,0.3900555561728463,0.14889318867659268,0.3900555561728463,0.14889318867659268
pd_d192_k10_eval,1,12,84.39025245185555,0.3333333333333333,140.38090621626202,0.16666666666666666,0.24532324665416552,153.36670577526093,153.36670577526093,0.4391941391941392,0.10787586214619309,0.4391941391941392,0.10787586214619309
pd_d192_k10_eval,2,12,79.23047851528564,0.4166666666666667,120.74206143085541,0.16666666666666666,0.1788106731158713,124.11023271083832,124.11023271083832,0.519707626381034,0.08959773454009816,0.519707626381034,0.08959773454009816
pd_d192_k10_eval,4,12,83.93732644797845,0.5,114.08767632190042,0.25,0.15376380283686553,111.13922723134358,111.13922723134358,0.48097364044785684,0.11744964142629803,0.48097364044785684,0.11744964142629803
pd_d192_k10_eval,9,12,66.13220606864387,0.5833333333333334,98.90373079966197,0.25,0.19876805788526175,84.92983359098434,84.92983359098434,0.4996120697637381,0.22582916237373085,0.4996120697637381,0.22582916237373085
pd_d192_k10_eval,19,12,72.99069742400476,0.6666666666666666,101.38872344098958,0.25,0.24660969838575797,66.01394384106,66.01394384106,0.42496635147797934,0.2154302430326983,0.42496635147797934,0.2154302430326983
pd_d192_k10_eval,29,12,76.83003983372573,0.5833333333333334,98.31832032777548,0.4166666666666667,0.28044780272504627,57.91492396593094,57.91492396593094,0.35013448297573674,0.28637247140353644,0.35013448297573674,0.28637247140353644
