split,generator,scorer,is_self_scorer,step,n_states,elite_count,mean_elite_overlap,mean_update_cosine,mean_relative_update_error,mean_learned_elite_success_fraction,mean_oracle_elite_success_fraction
all,pd_d192_k3_eval,pd_d192_k3_eval,True,29,50,30,0.11133333333333334,0.07256633178596732,1.2016431905167413,0.5833333333333334,0.6646666666666667
all,pd_d192_k3_eval,iter2_multistep_eval,False,29,50,30,0.122,0.036229687233948905,1.4014840020828356,0.5706666666666667,0.6646666666666667
all,pd_d192_k3_eval,pd_d192_k10_eval,False,29,50,30,0.18,0.15913046857430949,1.3306998956649307,0.5853333333333333,0.6646666666666667
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,29,25,30,0.14266666666666666,0.11733884111036946,1.1916639344550113,0.7,0.7466666666666667
dev,pd_d192_k3_eval,iter2_multistep_eval,False,29,25,30,0.13333333333333333,0.10316199666754448,1.3866669430106608,0.6573333333333333,0.7466666666666667
dev,pd_d192_k3_eval,pd_d192_k10_eval,False,29,25,30,0.192,0.15840211665474066,1.347516683613968,0.7120000000000001,0.7466666666666667
test,pd_d192_k3_eval,pd_d192_k3_eval,True,29,25,30,0.08,0.027793822461565202,1.2116224465784713,0.46666666666666673,0.5826666666666667
test,pd_d192_k3_eval,iter2_multistep_eval,False,29,25,30,0.11066666666666666,-0.030702622199646666,1.4163010611550104,0.48400000000000004,0.5826666666666667
test,pd_d192_k3_eval,pd_d192_k10_eval,False,29,25,30,0.168,0.15985882049387826,1.3138831077158932,0.45866666666666667,0.5826666666666667
