shift,k,env_steps,metric,mean,std,median,p25,p75,n
id,0,0,latent_mse,5.382865919494051e-14,2.306512897614233e-14,4.9337388964868986e-14,4.278133023619818e-14,5.793380098567669e-14,100
id,0,0,top1_same,1.0,0.0,1.0,1.0,1.0,100
id,0,0,first_block_l2,0.0,0.0,0.0,0.0,0.0,100
id,0,0,true_cost_regret,0.0,0.0,0.0,0.0,0.0,100
id,0,0,drift_cost_regret_of_true_best,0.0,0.0,0.0,0.0,0.0,100
id,0,0,cost_pearson,1.0,6.899736604282225e-08,1.0,1.0,1.0,100
id,0,0,cost_spearman,1.0,1.4305115314527939e-07,1.0,1.0,1.0,100
id,0,0,top5_overlap,1.0,0.0,1.0,1.0,1.0,100
id,0,0,top10_overlap,1.0,0.0,1.0,1.0,1.0,100
id,0,0,expert_rank_true,144.39999389648438,95.52067565917969,156.5,60.5,245.0,100
id,0,0,expert_rank_drift,144.39999389648438,95.52067565917969,156.5,60.5,245.0,100
id,1,5,latent_mse,0.021909821778535843,0.05373278260231018,0.008365381509065628,0.005482853855937719,0.01665928214788437,100
id,1,5,top1_same,0.8199999928474426,0.3841874301433563,1.0,1.0,1.0,100
id,1,5,first_block_l2,0.8959687948226929,1.9449853897094727,0.0,0.0,0.0,100
id,1,5,true_cost_regret,0.9695366024971008,4.010164737701416,0.0,0.0,0.0,100
id,1,5,drift_cost_regret_of_true_best,2.036137580871582,8.62119197845459,0.0,0.0,0.0,100
id,1,5,cost_pearson,0.9757742881774902,0.07390731573104858,0.9928274154663086,0.9801856875419617,0.9975841045379639,100
id,1,5,cost_spearman,0.9737905263900757,0.07046739012002945,0.9919450283050537,0.9739383459091187,0.9974614977836609,100
id,1,5,top5_overlap,0.8340001106262207,0.17217431962490082,0.800000011920929,0.800000011920929,1.0,100
id,1,5,top10_overlap,0.8440000414848328,0.14987994730472565,0.8999999761581421,0.800000011920929,0.8999999761581421,100
id,1,5,expert_rank_true,118.55999755859375,90.07444763183594,101.5,36.75,216.5,100
id,1,5,expert_rank_drift,122.11000061035156,90.9022445678711,109.5,38.5,207.5,100
id,2,10,latent_mse,0.04995669424533844,0.1276090294122696,0.017627758905291557,0.010695806704461575,0.045535486191511154,100
id,2,10,top1_same,0.7799999713897705,0.4142463207244873,1.0,1.0,1.0,100
id,2,10,first_block_l2,0.955350399017334,1.8437875509262085,0.0,0.0,0.0,100
id,2,10,true_cost_regret,2.2910420894622803,10.990142822265625,0.0,0.0,0.0,100
id,2,10,drift_cost_regret_of_true_best,2.0968010425567627,12.670098304748535,0.0,0.0,0.0,100
id,2,10,cost_pearson,0.9584540724754333,0.0741591528058052,0.9854832887649536,0.966840386390686,0.9938098192214966,100
id,2,10,cost_spearman,0.952801525592804,0.08230078220367432,0.9816061854362488,0.9594730138778687,0.9930433034896851,100
id,2,10,top5_overlap,0.7980000972747803,0.21999089419841766,0.800000011920929,0.6000000238418579,1.0,100
id,2,10,top10_overlap,0.8320000171661377,0.1696348935365677,0.8999999761581421,0.800000011920929,0.8999999761581421,100
id,2,10,expert_rank_true,101.30999755859375,87.32968139648438,68.0,29.75,173.75,100
id,2,10,expert_rank_drift,108.3499984741211,84.76465606689453,87.5,37.0,181.5,100
id,3,15,latent_mse,0.0856388732790947,0.1846640259027481,0.02850504219532013,0.017345644533634186,0.08167761564254761,100
id,3,15,top1_same,0.5699999928474426,0.4950757324695587,1.0,0.0,1.0,100
id,3,15,first_block_l2,1.9737763404846191,2.4109256267547607,0.0,0.0,4.237290859222412,100
id,3,15,true_cost_regret,3.212670087814331,7.555601119995117,0.0,0.0,2.7952041625976562,100
id,3,15,drift_cost_regret_of_true_best,2.6320059299468994,6.671008110046387,0.0,0.0,2.0047988891601562,100
id,3,15,cost_pearson,0.9270638227462769,0.17987558245658875,0.9772528409957886,0.9463731646537781,0.9910125732421875,100
id,3,15,cost_spearman,0.9169649481773376,0.18329434096813202,0.9754256010055542,0.9332718849182129,0.9908458590507507,100
id,3,15,top5_overlap,0.7360000610351562,0.2543697953224182,0.800000011920929,0.6000000238418579,1.0,100
id,3,15,top10_overlap,0.7559999823570251,0.232086181640625,0.800000011920929,0.6000000238418579,0.8999999761581421,100
id,3,15,expert_rank_true,92.30999755859375,84.08979797363281,62.0,12.0,168.0,100
id,3,15,expert_rank_drift,99.5,88.64947509765625,68.0,18.75,187.25,100
id,4,20,latent_mse,0.13553330302238464,0.25518476963043213,0.05073614418506622,0.024953152984380722,0.12435664981603622,100
id,4,20,top1_same,0.6000000238418579,0.4898979663848877,1.0,0.0,1.0,100
id,4,20,first_block_l2,1.7995171546936035,2.2965011596679688,0.0,0.0,4.185271739959717,100
id,4,20,true_cost_regret,6.416622161865234,14.19431209564209,0.0,0.0,3.830709457397461,100
id,4,20,drift_cost_regret_of_true_best,5.006519794464111,10.620747566223145,0.0,0.0,3.7400283813476562,100
id,4,20,cost_pearson,0.9165679812431335,0.14597155153751373,0.971278190612793,0.9215357899665833,0.9898588061332703,100
id,4,20,cost_spearman,0.9143429398536682,0.14453820884227753,0.9699562788009644,0.9057984948158264,0.9901114106178284,100
id,4,20,top5_overlap,0.6940000653266907,0.2719632387161255,0.800000011920929,0.6000000238418579,1.0,100
id,4,20,top10_overlap,0.7490000128746033,0.21702302992343903,0.800000011920929,0.699999988079071,0.8999999761581421,100
id,4,20,expert_rank_true,72.1500015258789,82.79557800292969,34.0,11.5,113.25,100
id,4,20,expert_rank_drift,78.08999633789062,84.90219116210938,39.5,13.0,132.75,100
id,5,25,latent_mse,0.19567365944385529,0.3107030689716339,0.07726988941431046,0.04114467650651932,0.19060401618480682,100
id,5,25,top1_same,0.5199999809265137,0.4995998442173004,1.0,0.0,1.0,100
id,5,25,first_block_l2,2.269934892654419,2.509427070617676,0.0,0.0,4.692687034606934,100
id,5,25,true_cost_regret,11.25297737121582,25.23478126525879,0.0,0.0,10.35947322845459,100
id,5,25,drift_cost_regret_of_true_best,8.368111610412598,18.33710289001465,0.0,0.0,8.650527954101562,100
id,5,25,cost_pearson,0.8770754933357239,0.2654769718647003,0.9730484485626221,0.9081950187683105,0.9908143877983093,100
id,5,25,cost_spearman,0.8795466423034668,0.259468138217926,0.9764058589935303,0.8961375951766968,0.9907947182655334,100
id,5,25,top5_overlap,0.6680001020431519,0.2982884347438812,0.800000011920929,0.6000000238418579,0.800000011920929,100
id,5,25,top10_overlap,0.7069999575614929,0.2635355591773987,0.800000011920929,0.6000000238418579,0.8999999761581421,100
id,5,25,expert_rank_true,63.779998779296875,75.55958557128906,32.5,8.75,96.0,100
id,5,25,expert_rank_drift,72.08000183105469,82.7227554321289,32.5,11.0,113.5,100
id,6,30,latent_mse,0.2753123342990875,0.38252875208854675,0.11835500597953796,0.060388363897800446,0.32383546233177185,100
id,6,30,top1_same,0.5,0.5,0.5,0.0,1.0,100
id,6,30,first_block_l2,2.2589926719665527,2.427680730819702,0.9495653510093689,0.0,4.488966464996338,100
id,6,30,true_cost_regret,9.668194770812988,18.047138214111328,0.007992744445800781,0.0,9.944405555725098,100
id,6,30,drift_cost_regret_of_true_best,9.984874725341797,18.775480270385742,0.055762290954589844,0.0,12.45554256439209,100
id,6,30,cost_pearson,0.8738267421722412,0.25594356656074524,0.9513574838638306,0.8922855257987976,0.9878658056259155,100
id,6,30,cost_spearman,0.8719165921211243,0.27178314328193665,0.9564992785453796,0.8778353333473206,0.9857080578804016,100
id,6,30,top5_overlap,0.6159999966621399,0.3220931589603424,0.800000011920929,0.4000000059604645,0.800000011920929,100
id,6,30,top10_overlap,0.6760000586509705,0.27968552708625793,0.800000011920929,0.5,0.8999999761581421,100
id,6,30,expert_rank_true,65.8499984741211,73.26163482666016,31.0,7.0,113.75,100
id,6,30,expert_rank_drift,71.58999633789062,75.2413558959961,48.0,7.0,122.25,100
id,7,35,latent_mse,0.3440786600112915,0.43624064326286316,0.1582631766796112,0.08096431195735931,0.3897247016429901,100
id,7,35,top1_same,0.4099999964237213,0.49183332920074463,0.0,0.0,1.0,100
id,7,35,first_block_l2,2.4444098472595215,2.1778364181518555,3.1479673385620117,0.0,4.3518524169921875,100
id,7,35,true_cost_regret,16.761428833007812,30.32736587524414,1.0646042823791504,0.0,19.9559326171875,100
id,7,35,drift_cost_regret_of_true_best,13.087268829345703,23.6508846282959,2.010141372680664,0.0,19.939544677734375,100
id,7,35,cost_pearson,0.8541280627250671,0.27267757058143616,0.9520443677902222,0.8569772243499756,0.9854810833930969,100
id,7,35,cost_spearman,0.8517846465110779,0.28174176812171936,0.9588085412979126,0.8690768480300903,0.9848039746284485,100
id,7,35,top5_overlap,0.5519999861717224,0.33361053466796875,0.6000000238418579,0.3499999940395355,0.800000011920929,100
id,7,35,top10_overlap,0.6050000190734863,0.31634631752967834,0.699999988079071,0.4000000059604645,0.800000011920929,100
id,7,35,expert_rank_true,45.880001068115234,60.65876388549805,19.0,1.75,58.0,100
id,7,35,expert_rank_drift,57.459999084472656,65.72342681884766,26.0,4.75,87.5,100
id,8,40,latent_mse,0.42446863651275635,0.4568423330783844,0.21405518054962158,0.11079481244087219,0.563028872013092,100
id,8,40,top1_same,0.3799999952316284,0.4853864312171936,0.0,0.0,1.0,100
id,8,40,first_block_l2,2.707045555114746,2.3196945190429688,3.395153522491455,0.0,4.462470531463623,100
id,8,40,true_cost_regret,14.279773712158203,23.65883445739746,1.6153712272644043,0.0,21.318988800048828,100
id,8,40,drift_cost_regret_of_true_best,12.950420379638672,22.164091110229492,2.1608047485351562,0.0,16.241445541381836,100
id,8,40,cost_pearson,0.831926167011261,0.279958039522171,0.94806307554245,0.817781925201416,0.986095666885376,100
id,8,40,cost_spearman,0.8300130367279053,0.28872859477996826,0.9438483715057373,0.7999159693717957,0.9863669872283936,100
id,8,40,top5_overlap,0.5060000419616699,0.36927497386932373,0.6000000238418579,0.0,0.800000011920929,100
id,8,40,top10_overlap,0.5550000071525574,0.34099119901657104,0.6000000238418579,0.20000000298023224,0.800000011920929,100
id,8,40,expert_rank_true,30.18000030517578,48.71290969848633,7.5,0.0,31.25,100
id,8,40,expert_rank_drift,42.349998474121094,62.491981506347656,16.0,1.0,47.5,100
id,9,45,latent_mse,0.49007758498191833,0.4938832223415375,0.30374962091445923,0.15007346868515015,0.6298112273216248,100
id,9,45,top1_same,0.23999999463558197,0.42708316445350647,0.0,0.0,0.0,100
