metric,mean_slope_per_alpha,ci_low,ci_high
coverage,0.0,0.0,0.0
min_true,-8.940314301395412,-15.663795117313464,-3.6051794716402883
mean_success,0.049999999999999996,0.0,0.125
model_refit_true,-9.283943157055687,-15.488577273089748,-3.8323396823111873
model_refit_success,0.0,0.0,0.0
oracle_refit_true,-13.786615220920021,-21.341968293447653,-6.8710565282702785
oracle_refit_success,0.03333333333333333,0.0,0.08333333333333333
