alpha,n_states,n_rounds,coverage,coverage_delta_vs_alpha0,coverage_delta_ci_low,coverage_delta_ci_high,min_true,min_true_delta_vs_alpha0,min_true_delta_ci_low,min_true_delta_ci_high,mean_success,mean_success_delta_vs_alpha0,mean_success_delta_ci_low,mean_success_delta_ci_high,model_refit_true,model_refit_true_delta_vs_alpha0,model_refit_true_delta_ci_low,model_refit_true_delta_ci_high,model_refit_success,model_refit_success_delta_vs_alpha0,model_refit_success_delta_ci_low,model_refit_success_delta_ci_high,oracle_refit_true,oracle_refit_true_delta_vs_alpha0,oracle_refit_true_delta_ci_low,oracle_refit_true_delta_ci_high,oracle_refit_success,oracle_refit_success_delta_vs_alpha0,oracle_refit_success_delta_ci_low,oracle_refit_success_delta_ci_high
0.0,12,4,0.4375,0.0,0.0,0.0,80.57187447163712,0.0,0.0,0.0,0.3541666666666667,0.0,0.0,0.0,105.96535774272763,0.0,0.0,0.0,0.3541666666666667,0.0,0.0,0.0,95.87662804454247,0.0,0.0,0.0,0.3541666666666667,0.0,0.0,0.0
0.25,12,4,0.4375,0.0,0.0,0.0,76.56644684393514,-4.0054276277019705,-7.300611833635326,-1.5761787681305188,0.3541666666666667,0.0,0.0,0.0,104.56781150531098,-1.3975462374166454,-3.133481503481264,0.12777931257885705,0.3541666666666667,0.0,0.0,0.0,91.3702489271705,-4.506379117371955,-6.383931386131543,-2.5670775300962596,0.3958333333333333,0.041666666666666664,0.0,0.10416666666666667
0.5,12,4,0.4375,0.0,0.0,0.0,74.9071232705795,-5.664751201057602,-9.4920892335406,-2.4534163792741843,0.3541666666666667,0.0,0.0,0.0,101.92315430884871,-4.042203433878954,-7.233870226657026,-1.3039297570734256,0.3541666666666667,0.0,0.0,0.0,87.74480295785742,-8.131825086685012,-11.475304788698214,-4.839508325538856,0.3958333333333333,0.041666666666666664,0.0,0.10416666666666667
0.75,12,4,0.4375,0.0,0.0,0.0,73.1459527383556,-7.425921733281505,-12.39436357504749,-3.219551921971728,0.3958333333333333,0.041666666666666664,0.0,0.10416666666666667,99.69216498983337,-6.273192752894272,-10.735914443173812,-2.386617004232,0.3541666666666667,0.0,0.0,0.0,84.74324418872287,-11.133383855819568,-16.609860600426458,-5.882733629052557,0.3958333333333333,0.041666666666666664,0.0,0.10416666666666667
1.0,12,4,0.4375,0.0,0.0,0.0,71.10672864768262,-9.465145823954499,-16.379061503430467,-3.827047283183057,0.3958333333333333,0.041666666666666664,0.0,0.10416666666666667,96.79825205414687,-9.167105688580792,-15.516535271910211,-3.5982506777517766,0.3541666666666667,0.0,0.0,0.0,81.95686138761621,-13.91976665692622,-21.377925259511745,-7.067591139063612,0.3958333333333333,0.041666666666666664,0.0,0.10416666666666667
