step,alpha,coverage,min_true,mean_success,model_refit_true,model_refit_success,oracle_refit_true,oracle_refit_success
4,0.0,0.25,79.02249759684302,0.16666666666666666,118.95988338495057,0.16666666666666666,101.12455712376489,0.16666666666666666
4,0.25,0.25,70.4071206663046,0.16666666666666666,116.39958838053234,0.16666666666666666,93.73960432954999,0.25
4,0.5,0.25,69.07952682643527,0.16666666666666666,109.9787673008658,0.16666666666666666,86.34609817994537,0.25
4,0.75,0.25,68.47068438237075,0.25,106.34919219995574,0.16666666666666666,81.81050851163764,0.25
4,1.0,0.25,67.05952317209297,0.25,102.39894582944,0.16666666666666666,77.54186513889896,0.25
9,0.0,0.3333333333333333,87.21323517422013,0.25,113.81633304799364,0.25,101.06955867616479,0.25
9,0.25,0.3333333333333333,83.97541920360915,0.25,111.7624473955239,0.25,98.34836107965629,0.25
9,0.5,0.3333333333333333,80.46882324077724,0.25,108.81500415673322,0.25,95.64922328800488,0.25
9,0.75,0.3333333333333333,76.75670026093859,0.25,105.79450022161399,0.25,91.79629768147971,0.25
9,1.0,0.3333333333333333,73.53072718221145,0.25,103.11671729799976,0.25,87.06026589201423,0.25
19,0.0,0.5833333333333334,80.04066809569358,0.5,97.63157779040328,0.5,93.8062363686048,0.5
19,0.25,0.5833333333333334,77.40363235109513,0.5,96.9965505854109,0.5,91.2352604095454,0.5
19,0.5,0.5833333333333334,76.50048766668037,0.5,95.61026223814893,0.5,88.32051143664152,0.5
19,0.75,0.5833333333333334,74.93066341547515,0.5,95.02513139988035,0.5,85.92412566751284,0.5
19,1.0,0.5833333333333334,72.1858438969836,0.5,94.32465344985472,0.5,84.4816797648758,0.5
29,0.0,0.5833333333333334,76.01109701979176,0.5,93.45363674756312,0.5,87.50616000963528,0.5
29,0.25,0.5833333333333334,74.47961515473168,0.5,93.11265965977687,0.5,82.1577698899303,0.5833333333333334
29,0.5,0.5833333333333334,73.57965534842516,0.5,93.28858353964682,0.5,80.66337892683795,0.5833333333333334
29,0.75,0.5833333333333334,72.42576289463794,0.5833333333333334,91.59983613788346,0.5,79.44204489426131,0.5833333333333334
29,1.0,0.5833333333333334,71.65082033944249,0.5833333333333334,87.35269163929301,0.5,78.74363475467584,0.5833333333333334
