shift,k,env_steps,metric,mean,std,median,p25,p75,n
id,0,0,latent_mse,5.4094681750486984e-14,1.7824375195219996e-14,5.1677337810449725e-14,4.499878456507879e-14,5.919490429513036e-14,100
id,0,0,top1_same,1.0,0.0,1.0,1.0,1.0,100
id,0,0,first_block_l2,0.0,0.0,0.0,0.0,0.0,100
id,0,0,true_cost_regret,0.0,0.0,0.0,0.0,0.0,100
id,0,0,drift_cost_regret_of_true_best,0.0,0.0,0.0,0.0,0.0,100
id,0,0,cost_pearson,1.0,7.324341311232274e-08,1.0,1.0,1.0,100
id,0,0,cost_spearman,1.0,1.7520116557534493e-07,1.0,1.0,1.0,100
id,0,0,top5_overlap,1.0,0.0,1.0,1.0,1.0,100
id,0,0,top10_overlap,1.0,0.0,1.0,1.0,1.0,100
id,0,0,expert_rank_true,130.27999877929688,106.1957778930664,145.5,13.75,249.25,100
id,0,0,expert_rank_drift,130.27999877929688,106.1957778930664,145.5,13.75,249.25,100
id,1,5,latent_mse,0.014624124392867088,0.01675502583384514,0.010813049972057343,0.005057342816144228,0.018294712528586388,100
id,1,5,top1_same,0.75,0.4330126941204071,1.0,0.75,1.0,100
id,1,5,first_block_l2,1.1362366676330566,2.0193545818328857,0.0,0.0,0.8276280164718628,100
id,1,5,true_cost_regret,2.3775017261505127,7.169161796569824,0.0,0.0,0.0771026611328125,100
id,1,5,drift_cost_regret_of_true_best,1.7644482851028442,6.321028232574463,0.0,0.0,0.0581207275390625,100
id,1,5,cost_pearson,0.9796874523162842,0.02992427535355091,0.9924468994140625,0.9748042821884155,0.9972293376922607,100
id,1,5,cost_spearman,0.9781551361083984,0.03179582208395004,0.9902191162109375,0.9751266241073608,0.996709406375885,100
id,1,5,top5_overlap,0.820000171661377,0.20297783613204956,0.800000011920929,0.800000011920929,1.0,100
id,1,5,top10_overlap,0.8500000238418579,0.13674792647361755,0.8999999761581421,0.800000011920929,0.9249999523162842,100
id,1,5,expert_rank_true,94.0199966430664,100.58350372314453,32.5,3.75,189.25,100
id,1,5,expert_rank_drift,95.12000274658203,101.19044494628906,40.5,4.0,214.25,100
id,2,10,latent_mse,0.032940689474344254,0.041683219373226166,0.018766742199659348,0.010574383661150932,0.04074367880821228,100
id,2,10,top1_same,0.6899999976158142,0.46249324083328247,1.0,0.0,1.0,100
id,2,10,first_block_l2,1.4242634773254395,2.1833817958831787,0.0,0.0,3.7988202571868896,100
id,2,10,true_cost_regret,6.4792680740356445,21.861488342285156,0.0,0.0,1.9375267028808594,100
id,2,10,drift_cost_regret_of_true_best,8.040680885314941,20.415409088134766,0.0,0.0,1.753976821899414,100
id,2,10,cost_pearson,0.9539415836334229,0.08365556597709656,0.9804632663726807,0.953721284866333,0.9942658543586731,100
id,2,10,cost_spearman,0.9550241231918335,0.08759891241788864,0.9802286028862,0.9531732797622681,0.9946761131286621,100
id,2,10,top5_overlap,0.7400000691413879,0.2126029133796692,0.800000011920929,0.6000000238418579,1.0,100
id,2,10,top10_overlap,0.7970000505447388,0.15776881575584412,0.800000011920929,0.699999988079071,0.8999999761581421,100
id,2,10,expert_rank_true,68.08999633789062,91.36871337890625,13.5,0.0,132.0,100
id,2,10,expert_rank_drift,74.70999908447266,94.2412109375,24.0,2.0,164.0,100
id,3,15,latent_mse,0.052494220435619354,0.05739498883485794,0.030726417899131775,0.018514243885874748,0.06296521425247192,100
id,3,15,top1_same,0.7099999785423279,0.4537620544433594,1.0,0.0,1.0,100
id,3,15,first_block_l2,1.1779658794403076,1.9148787260055542,0.0,0.0,3.159776210784912,100
id,3,15,true_cost_regret,7.017789840698242,15.75137996673584,0.0,0.0,1.6146583557128906,100
id,3,15,drift_cost_regret_of_true_best,9.706165313720703,26.35359001159668,0.0,0.0,2.2771530151367188,100
id,3,15,cost_pearson,0.9248123168945312,0.13021264970302582,0.9730483293533325,0.9426813125610352,0.988457441329956,100
