run,epoch,n_val_states,val_states,base_score_mae,base_score_normalized_mae,base_topk_overlap,elite_overlap,relative_update_error,selected_elite_true_cost,update_cosine
oe_ft60_fold0_all_lr2e6_a02_v1,0,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",0.0,0.0,1.0,0.16,1.173333373825952,112.95012757981235,0.1545034920535026
oe_ft60_fold1_all_lr2e6_a02_v1,0,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",0.0,0.0,1.0,0.17708333333333331,1.1428431489476005,103.93405271455575,0.16279199255339613
oe_ft60_fold2_all_lr2e6_a02_v1,0,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",0.0037799209298100323,0.00019468760277305077,0.9995833333333334,0.17750000000000002,1.1386876656904503,91.05380510671534,0.1976748948155044
oe_ft60_fold0_all_lr2e6_a02_v1,1,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",7.583283252082765,0.2337384706555088,0.7408333333333332,0.1691666666666667,1.1669320035284205,112.45743124348533,0.16801494051372287
oe_ft60_fold1_all_lr2e6_a02_v1,1,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",8.23989109992981,0.2839073638598031,0.6991666666666667,0.19874999999999998,1.1224969179542965,102.76165853946586,0.21938786678607056
oe_ft60_fold2_all_lr2e6_a02_v1,1,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",8.886263076402248,0.3038843060958398,0.7195833333333332,0.19416666666666665,1.128074851525175,89.68452933876074,0.2376976299763766
oe_ft60_fold0_all_lr2e6_a02_v1,2,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",11.242422334104777,0.28460026048905684,0.6954166666666668,0.17125,1.1780038283323502,112.33004261049732,0.1689518037627691
oe_ft60_fold1_all_lr2e6_a02_v1,2,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",13.32603661417961,0.3673631456992363,0.6058333333333332,0.2029166666666667,1.1167678681888795,102.65337462983173,0.23202656378704245
oe_ft60_fold2_all_lr2e6_a02_v1,2,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",13.974965783208608,0.3794497331373613,0.65125,0.21083333333333337,1.1154939660758005,89.14609049767434,0.2651778398061989
oe_ft60_fold0_all_lr2e6_a02_v1,3,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",14.391799084842205,0.3462403426690179,0.6275000000000001,0.16916666666666663,1.1938678587289149,112.30638598752016,0.16744344944577774
oe_ft60_fold1_all_lr2e6_a02_v1,3,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",17.81124645024538,0.4297819279038196,0.5416666666666666,0.20458333333333334,1.1317005953260502,102.02612899727187,0.243088155274333
oe_ft60_fold2_all_lr2e6_a02_v1,3,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",18.549791967123745,0.4513883834805389,0.5745833333333332,0.21875,1.1152690393802158,88.25942948539372,0.2781211043538998
oe_ft60_fold0_all_lr2e6_a02_v1,4,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",17.53635728210211,0.39205115321745143,0.5833333333333333,0.17291666666666664,1.1852000454779692,112.22168718828081,0.19100073182055885
oe_ft60_fold1_all_lr2e6_a02_v1,4,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",22.09288623332977,0.4923754312545349,0.4804166666666666,0.21083333333333334,1.1322575355978937,101.61706136811586,0.25344144693407034
oe_ft60_fold2_all_lr2e6_a02_v1,4,20,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59",22.119549825787544,0.5144742991297154,0.5041666666666667,0.2208333333333333,1.1217615172003201,88.13572060651299,0.28680503834538473
oe_ft60_fold0_all_lr2e6_a02_v1,5,20,"0,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57",20.108592782914638,0.43546695175347033,0.5449999999999999,0.17541666666666664,1.188892209659322,112.2707727953601,0.19957555259463397
oe_ft60_fold1_all_lr2e6_a02_v1,5,20,"1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58",26.18107389509678,0.5552339677847332,0.42458333333333326,0.21916666666666668,1.1502084508899408,101.32725523385496,0.2581206770484799
