run,epoch,base_score_mae,base_score_normalized_mae,base_topk_overlap,elite_overlap,relative_update_error,selected_elite_true_cost,state_index,update_cosine,base_score_mae_delta_vs_epoch0,base_score_normalized_mae_delta_vs_epoch0,base_topk_overlap_delta_vs_epoch0,elite_overlap_delta_vs_epoch0,relative_update_error_delta_vs_epoch0,selected_elite_true_cost_delta_vs_epoch0,update_cosine_delta_vs_epoch0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.058333333333333334,1.1157160707908618,75.00374045492683,30,0.22756650992956734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.049999999999999996,1.2509062421421404,404.61324197771495,33,0.0373079359474897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.11666666666666667,1.1232191826358378,63.590061330093214,36,0.18206367520123243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.225,1.0387311329383093,51.8419270431978,39,0.34830618001435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.16666666666666669,1.1448924628570585,37.52216268047257,42,0.08513357728734151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.016666666666666666,1.4741419789303551,444.22795416708357,45,-0.274936904012675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.13333333333333333,1.1728560093420726,16.771795912260863,48,0.21488382286416358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.225,1.191167352736054,16.978251409425187,51,0.20602206983013144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.11666666666666667,1.14562337068834,16.872033028983687,54,0.2054027262013026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold0_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.09999999999999999,1.2886367494563682,149.14161752885124,57,-0.0736602831572244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.3166666666666667,0.9593798647308351,39.1956981442551,1,0.4055284587230603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.1,1.3592391001972244,90.26188985578074,4,-0.062493282909802994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.2583333333333333,1.0842268560569654,21.360654193076158,7,0.28865368956843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oe_ft60_fold1_all_lr2e6_a02_v1,0,0.0,0.0,1.0,0.21666666666666667,1.111780067075364,124.07580844377014,10,0.1880836575077395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
