kind,shift,reference,interval,metric,k,env_steps,mean,std,median,p25,p75,n
regrounded_rollout_error,id,,1,mse,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,1,mse,1,5,0.016291966661810875,0.018456807360053062,0.010034771636128426,0.006475967820733786,0.017566893249750137,200
regrounded_rollout_error,id,,1,mse,2,10,0.01599661260843277,0.016202028840780258,0.011207574978470802,0.006547189317643642,0.01866929419338703,200
regrounded_rollout_error,id,,1,mse,3,15,0.01977841556072235,0.02528761699795723,0.012470036745071411,0.00717459199950099,0.02052559144794941,200
regrounded_rollout_error,id,,1,mse,4,20,0.02314779721200466,0.026299607008695602,0.013821044936776161,0.00875311903655529,0.024614006280899048,200
regrounded_rollout_error,id,,1,mse,5,25,0.024058258160948753,0.023866508156061172,0.01563224382698536,0.009371750988066196,0.029559733346104622,200
regrounded_rollout_error,id,,1,mse,6,30,0.02316262759268284,0.026000957936048508,0.015678636729717255,0.00932974275201559,0.02613607421517372,200
regrounded_rollout_error,id,,1,mse,7,35,0.022033751010894775,0.01994318515062332,0.015277749858796597,0.009351732209324837,0.02768310159444809,200
regrounded_rollout_error,id,,1,mse,8,40,0.024453716352581978,0.027827216312289238,0.01635441556572914,0.009513398632407188,0.030785731971263885,200
regrounded_rollout_error,id,,1,mse,9,45,0.03147311136126518,0.03010055609047413,0.022405311465263367,0.011649483814835548,0.044424377381801605,200
regrounded_rollout_error,id,,1,mse,10,50,0.03760744631290436,0.04297727346420288,0.0241323821246624,0.011844811029732227,0.04029775410890579,200
regrounded_rollout_error,id,,1,l2,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,1,l2,1,5,1.5998893976211548,0.753930926322937,1.388047456741333,1.1150720119476318,1.8365302085876465,200
regrounded_rollout_error,id,,1,l2,2,10,1.6066184043884277,0.7000909447669983,1.4669170379638672,1.1211848258972168,1.89327871799469,200
regrounded_rollout_error,id,,1,l2,3,15,1.7443950176239014,0.8686436414718628,1.5473353862762451,1.1736503839492798,1.9850056171417236,200
regrounded_rollout_error,id,,1,l2,4,20,1.899662733078003,0.9141441583633423,1.6289982795715332,1.2963790893554688,2.17391037940979,200
regrounded_rollout_error,id,,1,l2,5,25,1.9651212692260742,0.8703355193138123,1.7324330806732178,1.341408133506775,2.382202625274658,200
regrounded_rollout_error,id,,1,l2,6,30,1.920376181602478,0.8714239001274109,1.7350198030471802,1.338395118713379,2.2401061058044434,200
regrounded_rollout_error,id,,1,l2,7,35,1.907952070236206,0.7682439684867859,1.712609887123108,1.3399707078933716,2.305461883544922,200
regrounded_rollout_error,id,,1,l2,8,40,1.981684923171997,0.8763782382011414,1.7720096111297607,1.351505160331726,2.4312260150909424,200
regrounded_rollout_error,id,,1,l2,9,45,2.260178565979004,0.9666591286659241,2.0740818977355957,1.4955259561538696,2.920525074005127,200
regrounded_rollout_error,id,,1,l2,10,50,2.4009947776794434,1.206587314605713,2.152536392211914,1.5080381631851196,2.7815423011779785,200
regrounded_rollout_error,id,,1,cosine,0,0,-5.9604643443123e-10,8.554668085025696e-08,0.0,0.0,5.960464477539063e-08,200
regrounded_rollout_error,id,,1,cosine,1,5,0.00897664949297905,0.011529282666742802,0.005115389823913574,0.003071799874305725,0.00938066840171814,200
regrounded_rollout_error,id,,1,cosine,2,10,0.00876959040760994,0.009895382449030876,0.00588148832321167,0.0031471997499465942,0.01039116084575653,200
regrounded_rollout_error,id,,1,cosine,3,15,0.010888200253248215,0.014526714570820332,0.006271779537200928,0.003506094217300415,0.012004494667053223,200
regrounded_rollout_error,id,,1,cosine,4,20,0.01302370335906744,0.01597151719033718,0.007399916648864746,0.004315659403800964,0.013614505529403687,200
regrounded_rollout_error,id,,1,cosine,5,25,0.013348259963095188,0.01386738009750843,0.008595585823059082,0.0046754032373428345,0.016111433506011963,200
regrounded_rollout_error,id,,1,cosine,6,30,0.013303415849804878,0.016978099942207336,0.00850534439086914,0.005062669515609741,0.014919713139533997,200
regrounded_rollout_error,id,,1,cosine,7,35,0.012785891070961952,0.012559985741972923,0.008352398872375488,0.004979148507118225,0.017175614833831787,200
regrounded_rollout_error,id,,1,cosine,8,40,0.014328611083328724,0.017562761902809143,0.008790671825408936,0.00494171679019928,0.01751309633255005,200
regrounded_rollout_error,id,,1,cosine,9,45,0.018852436915040016,0.020076168701052666,0.012413203716278076,0.0059043169021606445,0.025635644793510437,200
regrounded_rollout_error,id,,1,cosine,10,50,0.023115994408726692,0.029327739030122757,0.012906074523925781,0.006118804216384888,0.026064440608024597,200
regrounded_rollout_error,id,,2,mse,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,2,mse,1,5,0.01629195548593998,0.01845703087747097,0.010034775361418724,0.006468422710895538,0.017566900700330734,200
regrounded_rollout_error,id,,2,mse,2,10,0.036431171000003815,0.045466575771570206,0.020586678758263588,0.01133420318365097,0.03826591372489929,200
regrounded_rollout_error,id,,2,mse,3,15,0.019778337329626083,0.025287553668022156,0.01246897503733635,0.007174475118517876,0.02052558772265911,200
regrounded_rollout_error,id,,2,mse,4,20,0.046359363943338394,0.05330737307667732,0.027325812727212906,0.01690560020506382,0.0520922914147377,200
regrounded_rollout_error,id,,2,mse,5,25,0.024058571085333824,0.023866478353738785,0.01563224196434021,0.009371746331453323,0.029559731483459473,200
regrounded_rollout_error,id,,2,mse,6,30,0.0568741112947464,0.053987182676792145,0.03419749438762665,0.02125832810997963,0.07439330220222473,200
regrounded_rollout_error,id,,2,mse,7,35,0.022033829241991043,0.019943227991461754,0.015277750790119171,0.009351729415357113,0.02768760919570923,200
regrounded_rollout_error,id,,2,mse,8,40,0.05163826048374176,0.05112655460834503,0.03572649136185646,0.021909276023507118,0.06008809432387352,200
regrounded_rollout_error,id,,2,mse,9,45,0.03147311136126518,0.030100546777248383,0.022405311465263367,0.011649486608803272,0.044424377381801605,200
regrounded_rollout_error,id,,2,mse,10,50,0.08425354212522507,0.08860117197036743,0.049071334302425385,0.025329599156975746,0.11294808238744736,200
regrounded_rollout_error,id,,2,l2,0,0,0.0,0.0,0.0,0.0,0.0,200
regrounded_rollout_error,id,,2,l2,1,5,1.5998845100402832,0.7539396286010742,1.388047695159912,1.11442232131958,1.8365306854248047,200
regrounded_rollout_error,id,,2,l2,2,10,2.3428149223327637,1.227192759513855,1.9881199598312378,1.4751784801483154,2.7105371952056885,200
regrounded_rollout_error,id,,2,l2,3,15,1.7443934679031372,0.8686378598213196,1.547269582748413,1.1736407279968262,1.985005497932434,200
regrounded_rollout_error,id,,2,l2,4,20,2.6718459129333496,1.327492356300354,2.2905337810516357,1.8016310930252075,3.16245698928833,200
regrounded_rollout_error,id,,2,l2,5,25,1.9651368856430054,0.870335042476654,1.7324329614639282,1.3414077758789062,2.382202625274658,200
regrounded_rollout_error,id,,2,l2,6,30,3.0141656398773193,1.3544868230819702,2.5624032020568848,2.020273208618164,3.779353618621826,200
regrounded_rollout_error,id,,2,l2,7,35,1.9079551696777344,0.7682464122772217,1.712609887123108,1.339970588684082,2.305649518966675,200
regrounded_rollout_error,id,,2,l2,8,40,2.89213490486145,1.2450300455093384,2.6190595626831055,2.050994634628296,3.396599531173706,200
regrounded_rollout_error,id,,2,l2,9,45,2.260178327560425,0.9666599631309509,2.0740818977355957,1.4955261945724487,2.920525074005127,200
regrounded_rollout_error,id,,2,l2,10,50,3.6059648990631104,1.7814868688583374,3.0694656372070312,2.2052836418151855,4.656764030456543,200
regrounded_rollout_error,id,,2,cosine,0,0,-5.9604643443123e-10,8.554668085025696e-08,0.0,0.0,5.960464477539063e-08,200
regrounded_rollout_error,id,,2,cosine,1,5,0.008976641111075878,0.01152939721941948,0.0051153600215911865,0.003071710467338562,0.009380698204040527,200
regrounded_rollout_error,id,,2,cosine,2,10,0.019818423315882683,0.02660834603011608,0.010323196649551392,0.005319267511367798,0.019464880228042603,200
regrounded_rollout_error,id,,2,cosine,3,15,0.010888156481087208,0.014526681043207645,0.006271868944168091,0.003506109118461609,0.012004658579826355,200
regrounded_rollout_error,id,,2,cosine,4,20,0.025275304913520813,0.03030458837747574,0.014189571142196655,0.008312374353408813,0.028416499495506287,200
regrounded_rollout_error,id,,2,cosine,5,25,0.013348412699997425,0.013867354951798916,0.008595585823059082,0.004681229591369629,0.01611146330833435,200
regrounded_rollout_error,id,,2,cosine,6,30,0.031237754970788956,0.031281065195798874,0.019658207893371582,0.011293768882751465,0.038674697279930115,200
regrounded_rollout_error,id,,2,cosine,7,35,0.012785925529897213,0.012559996917843819,0.008352398872375488,0.004979148507118225,0.017175614833831787,200
regrounded_rollout_error,id,,2,cosine,8,40,0.029475010931491852,0.03064541518688202,0.019441664218902588,0.011293098330497742,0.036048367619514465,200
regrounded_rollout_error,id,,2,cosine,9,45,0.01885242387652397,0.020076153799891472,0.012413263320922852,0.005904302000999451,0.025635629892349243,200
regrounded_rollout_error,id,,2,cosine,10,50,0.05059555172920227,0.057710837572813034,0.027232825756072998,0.01362067461013794,0.06751912832260132,200
regrounded_rollout_error,id,,3,mse,0,0,0.0,0.0,0.0,0.0,0.0,200
