run,epoch,n_val_states,val_states,base_score_mae,elite_overlap,relative_update_error,selected_elite_true_cost,update_cosine
oe_ft12_fold0_all_lr1e5_v1,0,4,"0,3,6,9",0.0,0.16875,1.2252134727482922,153.63485170037615,0.11286641591902395
oe_ft12_fold1_all_lr1e5_v1,0,4,"1,4,7,10",0.0,0.05,1.2459474288919852,129.74175225940883,-0.003350088562886544
oe_ft12_fold2_all_lr1e5_v1,0,4,"2,5,8,11",0.0,0.22291666666666668,1.1310236756128482,38.86233851160172,0.25427021337902433
oe_ft12_fold0_all_lr1e5_v1,1,4,"0,3,6,9",14.010131359100342,0.12291666666666667,1.3262126384483892,156.6653966443867,0.02893938319061766
oe_ft12_fold1_all_lr1e5_v1,1,4,"1,4,7,10",6.40817279368639,0.03958333333333333,1.2704881387925382,129.5940261713749,-0.03933958283913929
oe_ft12_fold2_all_lr1e5_v1,1,4,"2,5,8,11",6.208595499396324,0.20416666666666666,1.214134343526486,40.11720755055336,0.2433193577586085
oe_ft12_fold0_all_lr1e5_v1,2,4,"0,3,6,9",18.036978125572205,0.11875,1.3730929836922363,157.23945943439173,-0.0272775283235804
oe_ft12_fold1_all_lr1e5_v1,2,4,"1,4,7,10",10.130348414182663,0.05208333333333333,1.317613751243469,129.40653183874105,-0.05307200550691578
oe_ft12_fold2_all_lr1e5_v1,2,4,"2,5,8,11",11.701787255704403,0.19375,1.2201452552886103,41.919362272243546,0.21490867641926625
oe_ft12_fold0_all_lr1e5_v1,3,4,"0,3,6,9",22.64870998263359,0.12083333333333333,1.3954358218849916,157.94994742119374,-0.021250247587914897
oe_ft12_fold1_all_lr1e5_v1,3,4,"1,4,7,10",13.057690143585205,0.049999999999999996,1.3169636166667127,129.17627050856754,-0.04509263458781593
oe_ft12_fold2_all_lr1e5_v1,3,4,"2,5,8,11",15.966895520687103,0.17916666666666667,1.2540138866546588,43.21700737722711,0.19245668188513823
oe_ft12_fold0_all_lr1e5_v1,4,4,"0,3,6,9",26.468517899513245,0.14166666666666666,1.416919293461378,157.2217232794416,-0.04062709235458755
oe_ft12_fold1_all_lr1e5_v1,4,4,"1,4,7,10",14.523287385702133,0.07083333333333333,1.3517878731583761,128.08496600904652,-0.037479435348589725
oe_ft12_fold2_all_lr1e5_v1,4,4,"2,5,8,11",18.92956079542637,0.16249999999999998,1.2850068113879063,43.47307553291266,0.1905973958660182
oe_ft12_fold0_all_lr1e5_v1,5,4,"0,3,6,9",29.50437405705452,0.12083333333333333,1.43468220219005,157.98668797335358,-0.04461565668107217
oe_ft12_fold1_all_lr1e5_v1,5,4,"1,4,7,10",17.301170229911804,0.075,1.3447308832228682,128.6604160850124,-0.010452904770059793
oe_ft12_fold2_all_lr1e5_v1,5,4,"2,5,8,11",21.676630049943924,0.15625,1.27181947510525,43.79713350480752,0.2154572807142072
