k,plan_h,subgoal,lam,expert_rank,top1_vs_ideal,regret
0,2,none,0.0,111.75,1.0,0.0
0,2,oracle,0.5,50.08333206176758,0.39166666666666666,0.043501194566488266
0,2,interp_goal_a0.3,0.5,134.7916717529297,0.45,0.028979873284697533
0,2,interp_raw_a0.3,0.5,143.99166870117188,0.5583333333333333,0.019201088696718216
0,2,interp_goal_a0.5,0.5,134.1999969482422,0.5833333333333334,0.014266690239310265
0,2,interp_raw_a0.5,0.5,134.48333740234375,0.6833333333333333,0.010815213434398174
0,3,none,0.0,106.19999694824219,1.0,0.0
0,3,oracle,0.5,60.75833511352539,0.49166666666666664,0.03657042235136032
0,3,interp_goal_a0.3,0.5,124.59166717529297,0.6083333333333333,0.02325526438653469
0,3,interp_raw_a0.3,0.5,127.82499694824219,0.6333333333333333,0.012730523012578487
0,3,interp_goal_a0.5,0.5,120.2750015258789,0.6666666666666666,0.015282402746379375
0,3,interp_raw_a0.5,0.5,121.4000015258789,0.7,0.008442600257694721
0,5,none,0.0,66.9000015258789,1.0,0.0
0,5,oracle,0.5,18.40833282470703,0.44166666666666665,0.07211490720510483
0,5,interp_goal_a0.3,0.5,145.6666717529297,0.425,0.07550875097513199
0,5,interp_raw_a0.3,0.5,142.65834045410156,0.475,0.047573987394571304
0,5,interp_goal_a0.5,0.5,127.13333129882812,0.5416666666666666,0.04086672514677048
0,5,interp_raw_a0.5,0.5,126.31666564941406,0.6166666666666667,0.023324433714151382
5,2,none,0.0,51.983333587646484,0.5583333333333333,0.08947351574897766
5,2,oracle,0.5,35.44166564941406,0.4166666666666667,0.10842487961053848
5,2,interp_goal_a0.3,0.5,63.06666564941406,0.3333333333333333,0.1406097263097763
5,2,interp_raw_a0.3,0.5,59.91666793823242,0.4166666666666667,0.11883365362882614
5,2,interp_goal_a0.5,0.5,55.05833435058594,0.4,0.11628749221563339
5,2,interp_raw_a0.5,0.5,56.66666793823242,0.475,0.10237891972064972
5,3,none,0.0,38.44166564941406,0.5166666666666667,0.13526327908039093
5,3,oracle,0.5,28.200000762939453,0.49166666666666664,0.13904349505901337
5,3,interp_goal_a0.3,0.5,48.92499923706055,0.425,0.14979945123195648
5,3,interp_raw_a0.3,0.5,44.67499923706055,0.45,0.13923753798007965
5,3,interp_goal_a0.5,0.5,39.46666717529297,0.4583333333333333,0.14942802488803864
5,3,interp_raw_a0.5,0.5,42.224998474121094,0.43333333333333335,0.1514315903186798
5,5,none,0.0,15.574999809265137,0.625,0.15432146191596985
5,5,oracle,0.5,13.391666412353516,0.6416666666666667,0.14646539092063904
5,5,interp_goal_a0.3,0.5,43.43333435058594,0.39166666666666666,0.2968255877494812
5,5,interp_raw_a0.3,0.5,36.78333282470703,0.475,0.23194916546344757
5,5,interp_goal_a0.5,0.5,26.491666793823242,0.5083333333333333,0.22983665764331818
5,5,interp_raw_a0.5,0.5,31.075000762939453,0.5416666666666666,0.2081449180841446
8,2,none,0.0,32.53333282470703,0.30833333333333335,0.1851806938648224
8,2,oracle,0.5,30.116666793823242,0.3333333333333333,0.17655855417251587
8,2,interp_goal_a0.3,0.5,39.84166717529297,0.21666666666666667,0.1816168576478958
8,2,interp_raw_a0.3,0.5,37.54166793823242,0.225,0.18523359298706055
8,2,interp_goal_a0.5,0.5,36.266666412353516,0.3,0.17285725474357605
8,2,interp_raw_a0.5,0.5,33.75833511352539,0.2833333333333333,0.18206419050693512
8,3,none,0.0,66.65833282470703,0.2,0.18062157928943634
8,3,oracle,0.5,54.375,0.19166666666666668,0.18307922780513763
8,3,interp_goal_a0.3,0.5,71.69166564941406,0.18333333333333332,0.1954565942287445
8,3,interp_raw_a0.3,0.5,70.30833435058594,0.15,0.18881501257419586
8,3,interp_goal_a0.5,0.5,63.18333435058594,0.20833333333333334,0.18285496532917023
8,3,interp_raw_a0.5,0.5,63.16666793823242,0.15,0.18080201745033264
8,5,none,0.0,138.26666259765625,0.15833333333333333,0.23103481531143188
8,5,oracle,0.5,92.55000305175781,0.1,0.27751412987709045
8,5,interp_goal_a0.3,0.5,163.69166564941406,0.10833333333333334,0.2515091598033905
8,5,interp_raw_a0.3,0.5,157.35833740234375,0.11666666666666667,0.2504650950431824
8,5,interp_goal_a0.5,0.5,133.78334045410156,0.09166666666666666,0.24525180459022522
8,5,interp_raw_a0.5,0.5,136.43333435058594,0.075,0.2289142608642578
