shift,k,plan_h,mid,subgoal,lam,init,expert_rank,top1_vs_ideal,regret
id,0,2,1,none,0.0,true,111.75,1.0,0.0
id,0,2,1,none,0.0,drift,111.75,1.0,0.0
id,0,2,1,oracle,0.25,true,85.0999984741211,0.7083333333333334,0.008668515831232071
id,0,2,1,oracle,0.25,drift,85.0999984741211,0.7083333333333334,0.008668515831232071
id,0,2,1,oracle,0.5,true,50.08333206176758,0.39166666666666666,0.043501194566488266
id,0,2,1,oracle,0.5,drift,50.08333206176758,0.39166666666666666,0.043501194566488266
id,0,2,1,oracle,0.75,true,18.950000762939453,0.24166666666666667,0.0955793708562851
id,0,2,1,oracle,0.75,drift,18.950000762939453,0.24166666666666667,0.0955793708562851
id,0,2,1,disc2048,0.25,true,92.14167022705078,0.6833333333333333,0.008906897157430649
id,0,2,1,disc2048,0.25,drift,92.14167022705078,0.6833333333333333,0.008906897157430649
id,0,2,1,disc2048,0.5,true,70.35832977294922,0.4083333333333333,0.042782917618751526
id,0,2,1,disc2048,0.5,drift,70.35832977294922,0.4083333333333333,0.042782917618751526
id,0,2,1,disc2048,0.75,true,53.09166717529297,0.20833333333333334,0.10682441294193268
id,0,2,1,disc2048,0.75,drift,53.09166717529297,0.20833333333333334,0.10682441294193268
id,0,3,1,none,0.0,true,106.19999694824219,1.0,0.0
id,0,3,1,none,0.0,drift,106.19999694824219,1.0,0.0
id,0,3,1,oracle,0.25,true,88.75833129882812,0.775,0.007929082959890366
id,0,3,1,oracle,0.25,drift,88.75833129882812,0.775,0.007929082959890366
id,0,3,1,oracle,0.5,true,60.75833511352539,0.49166666666666664,0.03657042235136032
id,0,3,1,oracle,0.5,drift,60.75833511352539,0.49166666666666664,0.03657042235136032
id,0,3,1,oracle,0.75,true,24.875,0.25833333333333336,0.09224743396043777
id,0,3,1,oracle,0.75,drift,24.875,0.25833333333333336,0.09224743396043777
id,0,3,1,disc2048,0.25,true,93.5250015258789,0.725,0.011340554803609848
