kind,shift,metric,k,env_steps,mean,std,median,p25,p75,n
rollout_error,id,mse,0,0,9.667837548316821e-14,1.54780583559418e-14,9.539641483442135e-14,8.512756336431435e-14,1.0787481612194519e-13,200
rollout_error,id,mse,1,5,0.01629195362329483,0.01845702715218067,0.010034770704805851,0.0064684017561376095,0.017566891387104988,200
rollout_error,id,mse,2,10,0.03643116354942322,0.04546657204627991,0.02058667130768299,0.011334197595715523,0.038265928626060486,200
rollout_error,id,mse,3,15,0.06605663895606995,0.098366878926754,0.033702872693538666,0.018431441858410835,0.07614859938621521,200
rollout_error,id,mse,4,20,0.10246343910694122,0.15343475341796875,0.050109367817640305,0.030518993735313416,0.11585791409015656,200
rollout_error,id,mse,5,25,0.15312577784061432,0.23214669525623322,0.07107764482498169,0.04003417491912842,0.1608516126871109,200
rollout_error,id,mse,6,30,0.21298812329769135,0.29365110397338867,0.10346849262714386,0.05363589897751808,0.23872904479503632,200
rollout_error,id,mse,7,35,0.2726932764053345,0.3443434238433838,0.13846586644649506,0.07293452322483063,0.3168013095855713,200
rollout_error,id,mse,8,40,0.3338620662689209,0.3926391005516052,0.17480400204658508,0.09283521771430969,0.37822508811950684,200
rollout_error,id,mse,9,45,0.3952424228191376,0.42656210064888,0.23973515629768372,0.1352348029613495,0.48127663135528564,200
rollout_error,id,mse,10,50,0.45569923520088196,0.4184774160385132,0.3469536304473877,0.17802000045776367,0.5230073928833008,200
rollout_error,id,l2,0,0,4.294554400985362e-06,3.4503628398852015e-07,4.279731911083218e-06,4.042832188133616e-06,4.551039637590293e-06,200
rollout_error,id,l2,1,5,1.5998845100402832,0.7539396286010742,1.3880473375320435,1.1144205331802368,1.8365302085876465,200
rollout_error,id,l2,2,10,2.3428149223327637,1.227192759513855,1.9881196022033691,1.4751782417297363,2.7105376720428467,200
rollout_error,id,l2,3,15,3.06648325920105,1.8109545707702637,2.543776035308838,1.8811774253845215,3.8236708641052246,200
rollout_error,id,l2,4,20,3.8415966033935547,2.2170064449310303,3.1017656326293945,2.4206702709198,4.716420650482178,200
rollout_error,id,l2,5,25,4.623882293701172,2.8319361209869385,3.694098949432373,2.7724647521972656,5.556801795959473,200
rollout_error,id,l2,6,30,5.495175838470459,3.270591974258423,4.456955909729004,3.208829879760742,6.770165920257568,200
rollout_error,id,l2,7,35,6.277603626251221,3.5984458923339844,5.156081676483154,3.742114543914795,7.799088954925537,200
rollout_error,id,l2,8,40,7.018457412719727,3.8526320457458496,5.793303489685059,4.221890926361084,8.521684646606445,200
rollout_error,id,l2,9,45,7.798886775970459,3.881226062774658,6.784401893615723,5.095585823059082,9.61257266998291,200
rollout_error,id,l2,10,50,8.574684143066406,3.737518787384033,8.161798477172852,5.846330165863037,10.020841598510742,200
rollout_error,id,cosine,0,0,5.9604643443123e-10,7.60957803436213e-08,0.0,0.0,5.960464477539063e-08,200
rollout_error,id,cosine,1,5,0.008976642973721027,0.01152939535677433,0.005115300416946411,0.003071710467338562,0.00938066840171814,200
