shift,k,variant,latent_mse,top1_same,top5_overlap,cost_spearman,true_cost_regret
id,1,drift,0.015369868837296963,0.7733333333333333,0.797333300113678,0.9754179120063782,2.8486552238464355
id,1,proj_pca20,0.7702552676200867,0.1,0.13066665828227997,0.2642325460910797,77.21247100830078
id,1,proj_pca50,0.4186268448829651,0.23333333333333334,0.30933335423469543,0.6042651534080505,45.98961639404297
id,1,proj_knnsoft0.3,0.016193637624382973,0.7266666666666667,0.784000039100647,0.9716298580169678,5.710498809814453
id,1,proj_knnsoft0.6,0.026037735864520073,0.68,0.7093334197998047,0.9558839201927185,8.081933975219727
id,1,proj_knnsnap,0.05319482460618019,0.49333333333333335,0.6213333010673523,0.9178393483161926,20.30403709411621
id,5,drift,0.11971543729305267,0.6533333333333333,0.6200000047683716,0.9016106128692627,25.970355987548828
id,5,proj_pca20,0.6773525476455688,0.2,0.164000004529953,0.4075915515422821,133.84234619140625
id,5,proj_pca50,0.3696770966053009,0.3333333333333333,0.3293333351612091,0.6472910642623901,90.01343536376953
id,5,proj_knnsoft0.3,0.0960390642285347,0.6333333333333333,0.6360000371932983,0.9135642647743225,26.69186019897461
id,5,proj_knnsoft0.6,0.08676397055387497,0.68,0.6506665945053101,0.914808988571167,25.543001174926758
id,5,proj_knnsnap,0.09679920971393585,0.62,0.581333339214325,0.8973162770271301,30.304061889648438
id,10,drift,0.5117489695549011,0.17333333333333334,0.273333340883255,0.7664579153060913,32.001651763916016
id,10,proj_pca20,0.6175728440284729,0.02666666666666667,0.06533333659172058,0.5058003664016724,59.32645797729492
id,10,proj_pca50,0.5110780596733093,0.09333333333333334,0.14400000870227814,0.6441915035247803,36.09505081176758
id,10,proj_knnsoft0.3,0.4506186842918396,0.16,0.2906666696071625,0.7695579528808594,29.689361572265625
id,10,proj_knnsoft0.6,0.4115300178527832,0.16666666666666666,0.2853333353996277,0.762142539024353,27.279603958129883
id,10,proj_knnsnap,0.39369866251945496,0.14,0.265333354473114,0.738273024559021,28.689802169799805
visual,1,drift,0.1288892775774002,0.18,0.2720000147819519,0.6394935250282288,9.396843910217285
visual,1,proj_pca20,0.3446952998638153,0.14,0.13733333349227905,0.4028884470462799,8.99675464630127
visual,1,proj_pca50,0.24251782894134521,0.15333333333333332,0.1653333306312561,0.522895097732544,8.186210632324219
