alpha,branch_round,coverage,min_true,mean_true,mean_success
0.0,1,0.4166666666666667,57.481969827781406,100.14175735046877,0.25
0.0,2,0.4166666666666667,61.08778757365449,104.34314558701209,0.25
0.0,3,0.3333333333333333,64.36927327140207,105.54830888614299,0.16666666666666666
0.0,4,0.4166666666666667,60.322587081269376,102.87989803993491,0.16666666666666666
0.0,5,0.4166666666666667,62.86545751730731,103.09405129934719,0.25
0.0,6,0.4166666666666667,64.93325885086314,106.67776784829842,0.16666666666666666
0.0,7,0.4166666666666667,64.2162783770643,104.84319429721508,0.25
0.0,8,0.4166666666666667,65.39748712784557,105.17147018929388,0.25
0.0,9,0.4166666666666667,65.02476334855594,108.06260676899961,0.25
0.0,10,0.4166666666666667,64.82212911064066,106.21980742941336,0.25
0.0,11,0.4166666666666667,62.32366681080603,102.9304487949389,0.25
0.0,12,0.5,64.95578081381115,99.05007183261576,0.25
0.0,13,0.5,64.10279247329413,99.59369780906296,0.25
0.0,14,0.4166666666666667,67.31545733826316,98.00696496910109,0.25
0.0,15,0.4166666666666667,66.54653685675798,100.73035590715013,0.16666666666666666
0.0,16,0.4166666666666667,67.59463777449729,98.57894116414793,0.16666666666666666
0.0,17,0.4166666666666667,66.88865289290426,97.75925972038287,0.16666666666666666
0.0,18,0.4166666666666667,69.11722185298139,94.19262273376877,0.16666666666666666
0.0,19,0.5,67.02631540498236,93.81342220365002,0.16666666666666666
0.0,20,0.5,69.12357862779146,90.9295257223339,0.16666666666666666
0.0,21,0.5,68.99013572059619,89.25803638545874,0.25
0.0,22,0.5,69.500813051357,90.65488848318336,0.16666666666666666
0.0,23,0.5,68.92709035145812,90.91891826017796,0.25
0.0,24,0.5,71.06411707847444,90.0520816548843,0.25
0.0,25,0.5,73.1189903333905,97.45473434542741,0.25
1.0,1,0.4166666666666667,57.481969827781406,100.14175735046877,0.25
1.0,2,0.4166666666666667,55.61924487941169,83.09836749835942,0.3333333333333333
1.0,3,0.3333333333333333,54.05278231852788,70.90385855056547,0.3333333333333333
1.0,4,0.5,53.14799727342734,63.203456769282724,0.3333333333333333
1.0,5,0.3333333333333333,53.53568487454687,60.87881664325286,0.3333333333333333
1.0,6,0.3333333333333333,52.097747636741076,58.94743066361564,0.3333333333333333
1.0,7,0.5,50.25952945479572,60.48280651801101,0.3333333333333333
1.0,8,0.5,49.3632739894471,59.45513590105926,0.3333333333333333
1.0,9,0.5,49.526121910759436,58.99544924976724,0.3333333333333333
1.0,10,0.5,48.42464401242802,56.916243480125246,0.3333333333333333
1.0,11,0.4166666666666667,49.5508221126887,55.516565923672964,0.3333333333333333
1.0,12,0.4166666666666667,48.03564135186715,56.18273738751396,0.3333333333333333
1.0,13,0.5,47.690583129563066,55.83305709817216,0.3333333333333333
1.0,14,0.5833333333333334,45.978126459403335,55.451704157631404,0.3333333333333333
1.0,15,0.5,46.450444110501415,53.81128488390464,0.3333333333333333
1.0,16,0.4166666666666667,46.85949238793422,54.25280317817982,0.3333333333333333
1.0,17,0.4166666666666667,45.22590330143522,54.286003716940705,0.3333333333333333
1.0,18,0.5833333333333334,45.779801748285905,52.66822546487695,0.4166666666666667
1.0,19,0.5833333333333334,46.39618991070136,52.759120968762794,0.3333333333333333
1.0,20,0.5,45.55983746917777,52.763064112719064,0.4166666666666667
1.0,21,0.5833333333333334,46.217905888557546,50.900569363910904,0.5
1.0,22,0.5833333333333334,45.36431338652046,50.76671987498674,0.5
1.0,23,0.5833333333333334,45.04259885744373,48.46224122125966,0.5
1.0,24,0.5833333333333334,44.88131801825878,48.2134817533592,0.5
1.0,25,0.5833333333333334,44.015409469127036,47.36409890833337,0.5
