metric,mean_slope_per_alpha,ci_low,ci_high
average_coverage,0.043333333333333335,-0.02,0.12666666666666668
last_coverage,0.08333333333333333,0.0,0.25
last_min_true,-29.103580864263463,-65.86974205018267,-6.878574845063159
average_min_true,-17.2223758275367,-34.13392194462223,-4.513711042302173
mean_success,0.15333333333333332,0.023333333333333334,0.33
final_mean_true,-49.32440550840423,-101.3930481789618,-14.239223341124339
final_mean_success,0.25,0.0,0.5
