horizon,goal_offset,seed,variant,baseline,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,wins,losses,ties,mcnemar_exact_p,changed_episode_indices
5,40,7,baseline_k3,k3_s900,68.0,60.0,8.0,-4.0,20.0,7,3,40,0.34375,"0,6,7,8,12,14,18,24,42,47"
5,40,7,k3_multistart_equalcompute3x100,k3_s900,62.0,60.0,2.0,-14.0,18.0,8,7,35,1.0,"3,6,7,14,18,19,23,24,26,39,42,43,46,48,49"
5,40,7,k3_s100,k3_s900,68.0,60.0,8.0,-10.0,26.0,12,8,30,0.5034446716308594,"0,3,6,7,8,10,12,14,18,19,23,24,26,31,39,40,42,43,47,49"
5,40,7,portfolio_equalcompute3x100,k3_s900,74.0,60.0,14.0,-2.0,30.0,12,5,33,0.143463134765625,"0,3,6,7,9,10,12,14,17,23,24,26,31,39,42,48,49"
5,40,7,shared_rankensemble3x100,k3_s900,14.0,60.0,-46.0,-60.0,-32.0,1,24,25,1.5497207641601562e-06,"1,2,3,8,9,18,19,20,21,22,23,27,28,29,32,34,35,39,40,41,43,45,46,47,48"
5,40,42,baseline_k10,k3_s900,52.0,72.0,-20.0,-34.0,-6.0,2,12,36,0.012939453125,"3,4,5,8,9,10,11,16,17,20,26,38,43,49"
5,40,42,baseline_k3,k3_s900,62.0,72.0,-10.0,-18.0,-2.0,0,5,45,0.0625,"0,2,17,30,43"
5,40,42,baseline_k5,k3_s900,56.0,72.0,-16.0,-30.0,-4.0,2,10,38,0.03857421875,"0,5,10,11,17,21,26,30,32,34,38,44"
5,40,42,k3_multistart3x7,k3_s900,70.0,72.0,-2.0,-8.0,4.0,1,2,47,1.0,"17,30,32"
5,40,42,k3_multistart_equalcompute3x100,k3_s900,66.0,72.0,-6.0,-16.0,4.0,2,5,43,0.453125,"0,17,19,20,32,39,49"
5,40,42,k3_s100,k3_s900,58.0,72.0,-14.0,-26.0,-4.0,1,8,41,0.0390625,"0,2,16,17,19,20,26,30,49"
5,40,42,k3_to_k10_finalpop,k3_s900,58.0,72.0,-14.0,-24.0,-6.0,0,7,43,0.015625,"0,2,11,17,30,43,49"
5,40,42,k3_to_k10_means,k3_s900,58.0,72.0,-14.0,-24.0,-6.0,0,7,43,0.015625,"0,2,11,17,30,43,45"
5,40,42,k3_to_k10_refit10,k3_s900,58.0,72.0,-14.0,-24.0,-6.0,0,7,43,0.015625,"0,2,17,30,39,43,49"
5,40,42,k3_to_k10_refit30,k3_s900,60.0,72.0,-12.0,-22.0,-4.0,0,6,44,0.03125,"0,2,17,30,43,49"
5,40,42,k3_to_k10_refit5,k3_s900,60.0,72.0,-12.0,-22.0,-4.0,0,6,44,0.03125,"0,2,17,30,43,49"
5,40,42,k3_to_k3_finalpop,k3_s900,60.0,72.0,-12.0,-22.0,-4.0,0,6,44,0.03125,"0,2,14,17,30,43"
5,40,42,k3_to_k3_means,k3_s900,62.0,72.0,-10.0,-18.0,-2.0,0,5,45,0.0625,"0,2,17,30,43"
5,40,42,k3_to_k3_refit30,k3_s900,62.0,72.0,-10.0,-18.0,-2.0,0,5,45,0.0625,"0,2,17,30,43"
5,40,42,k3_to_k5_finalpop,k3_s900,56.0,72.0,-16.0,-26.0,-6.0,0,8,42,0.0078125,"0,2,11,17,30,39,43,45"
5,40,42,k3_to_k5_means,k3_s900,60.0,72.0,-12.0,-22.0,-4.0,0,6,44,0.03125,"0,2,17,30,43,45"
5,40,42,k3_to_k5_refit30,k3_s900,56.0,72.0,-16.0,-26.0,-6.0,0,8,42,0.0078125,"0,2,17,30,39,43,45,49"
5,40,42,portfolio_equalcompute3x100,k3_s900,66.0,72.0,-6.0,-18.0,6.0,3,6,41,0.5078125,"17,19,20,26,30,32,38,39,49"
5,40,42,portfolio_rank3x1,k3_s900,66.0,72.0,-6.0,-16.0,4.0,2,5,43,0.453125,"0,9,11,16,17,32,49"
5,40,42,portfolio_rank3x7,k3_s900,72.0,72.0,0.0,-8.0,8.0,2,2,46,1.0,"0,9,17,32"
5,40,42,shared_rankensemble3x100,k3_s900,6.0,72.0,-66.0,-78.0,-52.0,0,33,17,2.3283064365386963e-10,"0,2,3,4,5,6,7,8,10,11,13,14,15,16,17,20,21,22,23,24,26,28,30,33,34,36,37,39,43,44,45,46,49"
5,40,123,baseline_k3,k3_s900,58.0,66.0,-8.0,-18.0,0.0,1,5,44,0.21875,"1,12,17,30,34,47"
5,40,123,k3_multistart_equalcompute3x100,k3_s900,60.0,66.0,-6.0,-18.0,6.0,3,6,41,0.5078125,"2,9,10,11,17,30,31,45,47"
5,40,123,k3_s100,k3_s900,52.0,66.0,-14.0,-26.0,-4.0,1,8,41,0.0390625,"10,11,12,20,23,27,30,40,47"
5,40,123,portfolio_equalcompute3x100,k3_s900,58.0,66.0,-8.0,-20.0,2.0,2,6,42,0.2890625,"0,11,14,16,18,30,40,47"
5,40,123,shared_rankensemble3x100,k3_s900,4.0,66.0,-62.0,-76.0,-48.0,1,32,17,7.916241884231567e-09,"5,6,8,9,11,12,13,16,17,18,19,20,21,22,23,26,27,28,29,30,31,33,34,38,39,40,41,42,44,45,47,48,49"
