horizon,goal_offset,variant,baseline,n_seeds,seeds,n_episodes,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,min_seed_delta_pp,max_seed_delta_pp,wins,losses,ties,mcnemar_exact_p
5,40,baseline_k10,k3_s900,1,42,50,52.0,72.0,-20.0,-34.0,-6.0,-20.0,-20.0,2,12,36,0.012939453125
5,40,baseline_k3,k3_s900,3,"7,42,123",150,62.666666666666664,66.0,-3.3333333333333335,-9.333333333333334,2.6666666666666665,-10.0,8.0,8,13,129,0.38331031799316406
5,40,baseline_k5,k3_s900,1,42,50,56.0,72.0,-16.0,-28.0,-4.0,-16.0,-16.0,2,10,38,0.03857421875
5,40,k3_multistart3x7,k3_s900,1,42,50,70.0,72.0,-2.0,-10.0,4.0,-2.0,-2.0,1,2,47,1.0
5,40,k3_multistart_equalcompute3x100,k3_s900,3,"7,42,123",150,62.666666666666664,66.0,-3.3333333333333335,-10.666666666666666,4.0,-6.0,2.0,13,18,119,0.47312965989112854
5,40,k3_s100,k3_s900,3,"7,42,123",150,59.333333333333336,66.0,-6.666666666666667,-14.666666666666666,1.3333333333333333,-14.0,8.0,14,24,112,0.14330665429588407
5,40,k3_to_k10_finalpop,k3_s900,1,42,50,58.0,72.0,-14.0,-24.0,-6.0,-14.0,-14.0,0,7,43,0.015625
5,40,k3_to_k10_means,k3_s900,1,42,50,58.0,72.0,-14.0,-24.0,-6.0,-14.0,-14.0,0,7,43,0.015625
5,40,k3_to_k10_refit10,k3_s900,1,42,50,58.0,72.0,-14.0,-24.0,-6.0,-14.0,-14.0,0,7,43,0.015625
5,40,k3_to_k10_refit30,k3_s900,1,42,50,60.0,72.0,-12.0,-22.0,-4.0,-12.0,-12.0,0,6,44,0.03125
5,40,k3_to_k10_refit5,k3_s900,1,42,50,60.0,72.0,-12.0,-22.0,-4.0,-12.0,-12.0,0,6,44,0.03125
5,40,k3_to_k3_finalpop,k3_s900,1,42,50,60.0,72.0,-12.0,-22.0,-4.0,-12.0,-12.0,0,6,44,0.03125
5,40,k3_to_k3_means,k3_s900,1,42,50,62.0,72.0,-10.0,-20.0,-2.0,-10.0,-10.0,0,5,45,0.0625
5,40,k3_to_k3_refit30,k3_s900,1,42,50,62.0,72.0,-10.0,-20.0,-2.0,-10.0,-10.0,0,5,45,0.0625
5,40,k3_to_k5_finalpop,k3_s900,1,42,50,56.0,72.0,-16.0,-26.0,-6.0,-16.0,-16.0,0,8,42,0.0078125
5,40,k3_to_k5_means,k3_s900,1,42,50,60.0,72.0,-12.0,-22.0,-4.0,-12.0,-12.0,0,6,44,0.03125
5,40,k3_to_k5_refit30,k3_s900,1,42,50,56.0,72.0,-16.0,-26.0,-6.0,-16.0,-16.0,0,8,42,0.0078125
5,40,portfolio_equalcompute3x100,k3_s900,3,"7,42,123",150,66.0,66.0,0.0,-7.3499999999999845,7.333333333333333,-8.0,14.0,17,17,116,1.0
5,40,portfolio_rank3x1,k3_s900,1,42,50,66.0,72.0,-6.0,-16.0,4.0,-6.0,-6.0,2,5,43,0.453125
5,40,portfolio_rank3x7,k3_s900,1,42,50,72.0,72.0,0.0,-8.0,8.0,0.0,0.0,2,2,46,1.0
5,40,shared_rankensemble3x100,k3_s900,3,"7,42,123",150,8.0,66.0,-58.0,-66.0,-50.0,-66.0,-46.0,2,89,59,3.3822316648042255e-24
